orgNo,partyId,ssn,userId,userPartyId,orgUuid,partyUuid,lastName
310846600,62065652,01897299018,4550352,62065656,508f832d-a552-4fd2-9c70-82561dd0b0d6,4cc7ef55-0214-4a6e-9000-67a0b5cca80a,pyramide
310846635,62065659,06826497570,4537687,62065662,06e385ef-6909-44f5-a0c6-232f63000919,72567f6c-23bf-4a4e-a848-72e2f67fbdfe,seigmann
310846732,62065693,12816895810,4569017,62065698,67acc6c1-3ff0-4864-84c7-907eb0ad8b6e,bbdf2328-58a6-4388-b1ec-96758c8cf6e7,smaragd
310846813,62065714,02885697901,4565102,62065718,d4cae8af-4986-4e8e-b4db-7e58361393e0,fdb7e486-9414-4fed-9daa-238524c14923,gjenbruksstasjon
310847127,62065791,21878596347,4545739,62065795,fdbeb0c0-055e-465d-b13c-580cc6b33ed7,4eaf3eec-2e82-4469-a938-68830f8939ad,turbin
310847178,62065801,16829299171,4504174,62065805,22b3de87-00b8-44bb-be07-72c5a32a98f6,610862e2-c203-4618-8441-6e8f234b8a35,fjell
310847232,62065815,14813149371,4556283,62065821,b6dbf619-403c-444b-8d30-5f0b780de676,f56794ac-cf00-479c-93b2-155f49895be3,sønnavind
310847291,61830871,16894499102,4555625,62065836,367318b7-1b8a-44d9-8526-5610b98ec6cf,0bca43e2-2d81-4a5e-aba1-5391a7acbf5c,kunstverk
310847305,62065831,12888596990,4555447,62065832,134d08d6-1b7a-4e6b-b796-d0910fa3ed87,e2db9121-5b59-4659-9738-6ee5c45da39f,etasje
310847313,61742277,20900048484,4536464,62065839,f626a042-f8e2-4619-aae0-e334c492e256,93b61f7e-cece-473d-9927-d8143602742f,kryddermål
310847364,62065847,08815799756,4522285,61717683,9d480c0f-21a7-4980-99e0-c4de893e7834,4a69c600-46a3-4d30-88e0-15be46db0a43,kollega
310847372,62065848,09846796131,4550751,62065854,626cf811-88f9-4e23-9447-7aeaf6472ac5,9c1aec7d-f619-401d-b0f7-cd50f62df552,bokstav
310847410,62065860,01887097166,4540970,62065871,7487e78a-ab41-4be8-8a75-2a3f4ebb32a6,9064cef5-461c-4939-bf32-c6be7f35ae66,histolog
310847747,62065948,11834996377,4502639,61865295,85c71bbd-e876-4533-a1b6-54320e580496,77d4cb16-4db9-4848-b3f9-cf50bb24167c,aluminium
