orgNo,partyId,ssn,userId,userPartyId,orgUuid,partyUuid,lastName
310576123,61998056,11916798522,4529951,61982379,1ad780d1-ac8d-44f7-9803-29757d042a19,e0963930-d679-43b7-8e3c-d8b1a065019a,elg
310576166,61998058,11829397449,4568042,61998065,9d8dc9f9-2de9-48e4-b763-74fb321fa3fb,701706a7-fc60-42a2-bc05-575884423121,båndsalat
310576239,61998085,01904998709,4506115,61848775,1c272c72-36c4-4376-a3f8-2ca448b24dad,02724ad2-9237-4c10-b087-9e3870193191,ekspeditør
310576247,61998084,08876196329,4541194,61729714,c8710fa3-acb5-4241-bfa1-27366fd53e2e,9eb13196-ad05-4a76-8a5b-7253c63344bb,svale
310576328,61998106,22828898551,4537778,61998111,99225026-4e4f-4818-b886-515f7742a944,fc1dfe7d-bc34-4571-993d-49b847c697b7,herre
310576344,61998108,01846397554,4541509,61818457,53896edc-52ae-466a-aec9-65b22847e97d,ff8e5457-bb55-4184-9097-b9dfe7d99899,ambolt
310576379,61998118,12886196103,4538801,61998122,d1a24940-8e09-4575-adaa-f3966819626a,b9ea34e4-8ee2-4bd6-9e2f-64e3179b8466,fabrikkpipe
310576409,61998120,08877599982,4570608,61998130,1e75824c-32ba-46f1-8797-a2dadc18a196,1f7cf3b7-ceaf-40d1-bada-98f8e69c3b2f,journalist
310576433,61998134,11885399578,4537570,61998140,89a35eab-09c2-47cf-a322-9d2687f2c370,2ed1c11e-cc10-4418-84a1-cce1ab277603,budeie
310576751,61998207,08826595206,4569518,61876757,c6f0751f-7e6f-4dec-a87c-4c7c5e2d0f98,bf06082c-03a4-499e-8ec2-4562b4241e1a,guvernante
310577065,61998290,05876896267,4540976,61867013,755e7bff-36f0-459c-9c12-61bb8e7bb56e,d163157c-2593-4732-a3e4-ad72e84245e5,treff
310577251,61998326,08877796443,4553285,61998335,87226a96-aae7-48c7-84bc-fedc7df51b18,13308e8e-82de-425c-b11a-f1a9236ac2c7,ellipse
310577316,61998348,13817495561,4532271,61998352,0ded15dc-005b-4ad5-aa38-b75be6e79801,aea22f74-4815-49b6-803a-c3d7f8a808ef,stjerne
310577332,61998354,19837599418,4560736,61998357,6ccbc02d-0709-4d19-910d-e2c1ab8eab4d,a781e988-35f7-42a3-a7ee-fb4fae3dbc65,aroma
310577421,61998370,18926497568,4537646,61998378,32280eaa-4063-448f-9d63-9d0df2ceb717,ec0406cb-b460-438d-8530-9588b1b77b35,hake
310577510,61998392,06865897748,4538429,61998405,1277247a-07f3-4cde-9a97-a3577cacb665,f0a3c704-650d-4e0f-9a05-74e3d40bb419,barberskum
310577618,61843658,09875898377,4525405,61998419,ce20bf55-2167-4d67-99ab-492a4e953c98,82c016a3-b930-4a16-a8ad-f23e08747d71,løvetann
310577812,61803788,02906198323,4511999,61808135,a4596af4-574f-4363-b2e5-2ddf74e92460,e043091c-690c-4ba9-a11d-55496503a8a5,jubel
310577839,61998479,10896399395,4548095,61998487,ee4e8fe5-15fd-4e16-a3ff-49f5202a4392,20dabfbe-d636-40c3-b800-609f2e688640,kjøttdeig
310577952,61998507,14846298739,4547367,61998510,039e5854-b50c-4ba7-b966-990197fbd035,0da618be-c23c-4ca8-aff3-96ceb8456e20,kjeks
310577987,61998516,28858898627,4554421,61803994,a875207c-e1d0-4d43-97a9-78668284e197,db039fda-b03d-46d1-babb-9191f3feaddf,kilometer
310577995,61998515,11917199177,4502239,61870511,6580615b-85d3-44c9-ad0d-f562de683a3e,903b54c0-97ad-47a0-b7ca-e76b3c0409d2,lunge
310578037,61998523,09826899139,4524543,61998526,284dbd9e-00e4-4490-8d68-6a6b2ce66f11,b9901686-a526-4845-addf-2a5bc8d9d7b3,tørketrommel
310578185,61998557,12823049100,4552429,61998562,964f916c-0e92-4fd9-8a13-11eb40532927,03a92942-f6de-45b8-8af7-a8c5df6ea74c,ingrediens
310578207,61998563,01892948972,4537345,61998565,20efc52b-3e78-4deb-9276-50b39e613d29,a5d0868e-f1d6-42fb-bd92-7450aa843819,krabbe
310578223,61998568,01817195802,4544383,61998574,36163f0c-2a9a-4781-adaa-f484962d3e2b,abc977c0-4a0a-4f41-994f-2d6a186d75a6,gasspedal
310578339,61830013,23875896717,4562222,61998602,30c70786-37a3-4d7c-832a-7303334a000f,0a09c203-c216-47c9-938f-2dee2fb12929,far
310578444,61998621,23826294183,4538995,61998626,a8539747-7052-4521-85a2-9b8aa6903f95,64bf7a32-b823-40d3-9e5e-681e0ab64658,konklusjon
