orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType
312939053,51235148,cc90e65a-1fa9-4631-8d6e-384cd144317d,20013171,14a06e51-a34a-4ce1-a6a4-068308bd57b6,24856398710,revisor
312705672,51238280,66010860-0980-42c9-be37-7c60ad09625f,20903751,bc84a507-73c3-4cc1-998f-0125df7cf5a8,03826995709,revisor
310495670,51235192,806e41fb-c429-490f-880d-bb0b92bb7bd9,20013166,7d7c3711-f254-494f-9135-dc83e5bb7ecd,13886499404,revisor
313588270,51235098,ea9611a5-65bf-4635-8ff5-0f03a44dd022,20013170,8de3f24d-ec72-4a00-8e89-181fd813d410,23812849735,revisor
314241118,51235199,619b6537-08ab-40b1-a844-4041fef740ea,20401606,5230782b-9475-4b91-8279-6ee3a67a7f08,14896895304,regnskapsforer
314244680,51238562,c9089976-9a5c-4d0c-801e-9e066f6e4825,20199381,276d90fe-4411-43bd-948c-b18781d25e2f,15895897164,regnskapsforer
314248449,51238875,d12ed266-9bca-473c-9a79-33694ab55f24,21134909,ed6f369b-f1ea-4bee-9fea-90246e657e64,17836499077,regnskapsforer
314265939,51271036,078c006f-0241-4314-b514-35a17ba2f87a,20737880,9977b7ea-d4a0-464a-96c6-439115d9b7a4,13845994514,forretningsforer
314305582,51243202,d16ade36-63d6-4c71-b474-54fc7643f409,20349376,472c6c90-f0e7-40ff-9fde-4f113a5973cb,05814899731,forretningsforer
310343439,51236096,6269d9da-9009-4c88-8dd9-60211f996da6,20085131,0f2f7d10-4fa7-48c3-ab31-0de459171612,27849297746,forretningsforer
