orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType
312939053,51448685,07106f0c-fdae-4138-a060-99395717e5d8,160951,ad5de1c4-de12-45cd-91c9-17eb09f23213,24856398710,revisor
312705672,51451821,a64db0e6-1f2a-4b42-9d9a-d713c13bf240,1773680,47da5cc2-e82d-4f12-9c48-5ee2b4b5da3e,03826995709,revisor
310495670,51448720,436f789a-a10b-4640-8331-89201a67d532,163193,ed0cdb8d-6e8b-4fb9-a5a4-29e6b0dbb3c7,13886499404,revisor
313588270,51448633,6c5f85b9-7fea-4216-ab42-ed45dacebd24,159660,3a625c36-086f-4aee-a118-2476b1142c42,23812849735,revisor
314241118,51448732,265996d7-34e1-40d8-a304-ca11bd9c4124,1430207,53552a7c-2b40-45ed-8b64-703307a217e9,14896895304,regnskapsforer
314244680,51452104,034cc7e8-bb67-40f5-a094-1d971547331b,2091782,8fb25a40-1c97-4380-b903-6af1e3995b4e,15895897164,regnskapsforer
314248449,51452389,271a26e8-f5b0-491b-ab91-f6d6ddcb25c5,1602937,21293027-6bd2-4692-8016-6c5c7d7e6e72,17836499077,regnskapsforer
314265939,51484569,bf3f6136-b12f-46f7-a092-e13c1fb2b98a,1438173,f23d1bd0-6b0d-442a-98e3-538d1c12476c,13845994514,forretningsforer
314305582,51456731,06dc6c7d-e632-4b88-aff7-9cc7badf328f,1473264,03aba7af-db7f-4b18-8358-8b6d4b58ffa8,05814899731,forretningsforer
310343439,51449646,a15f18ad-c9a1-4844-8750-f7322f7292ac,181836,2b1be0d8-486b-4b5c-949a-3df6c8d3076e,27849297746,forretningsforer
