ssn,avgivere
31850148921,org:312517639 org:310203599 org:313177920 org:312167913 person:25904996796 org:312574233 org:310170992 org:311696793 person:26906297972 org:212489182 org:311741772 org:312285851 org:313790797 org:313061558 org:312544032 org:313465276 person:30845098936 org:312496593 org:310972053 org:313279774 org:213845942 org:311006886 org:210356592 person:10819999517 org:212537152 org:311047078 org:310339865 org:313773078 org:310288039 person:23870198760 org:311714899 org:313570622 person:06897196792 person:14922549193 person:26883649345 person:11899599936 org:311751018 org:312178656 org:313526186 org:210376992 org:312282313 org:310131873 org:314101790 org:313463850 org:213111272 person:03847698720 person:18836796930 org:313942023 org:313287815 person:05837699683 org:310267961 org:312502593 org:313062368 org:312971887 org:313870928 org:312913852 person:07875499704 org:212254932 org:311067729 org:313195074 org:311046217 org:210935142 person:18877196670 person:07817097140 person:22879498051 org:310494968 org:312566699 person:26910948961 org:310164410 org:312899140 org:313533425 org:313229300 org:314044940 person:22837099793 org:314069285 org:310197971 org:310430331 person:30904698144 org:310319422 org:313679497 person:28918599012 person:07926097150 person:13926298687 person:24857999386 person:06824898977 person:03873848544 org:313214354 org:313371506 person:05818598655 org:213676032 person:28929397330 person:14819496340 org:313065278 org:310588970 person:29877699984 org:313255808 org:310390054 person:17865198949 person:28929396709 person:07818698059
02926296151,person:18887296924 person:27828598746 person:14827498557 person:08847698382 person:31907199129 person:17918796592 person:05891349507 person:06814697809 person:04818098974 person:28900099012 person:15836394787 person:15828397114 person:21859997748 person:29898298025 person:22917098615 person:28849097239 person:31909097900 person:17810197811 person:05908496924 person:04929798371 person:05917099989 person:06894297865 org:314135733 org:310016403 org:310557463 org:313068161 person:24847699414 person:22916799911 person:21893348937 person:29926897541 person:26834999128 person:20819999598 person:29916097342 person:24893948526 person:02896299371 person:17837799058 person:09865895310 person:27928599316 person:23898797716 person:20825096389 org:313505014 person:20856097413 person:23926298577 person:22824698345 org:312480581 org:211018712 org:312937298 person:30838897084 person:06905297811 org:313649709 person:11897197148 person:19896299134 org:313180522 org:311697935 org:313206505 org:313788385 org:311722506 org:313275604 org:213947532 org:310920215 org:311036033 person:23817096514 org:312154048 org:311012975 person:08856697399 person:12876299524 person:25929498995 person:20916498773 person:06876597975 person:22919696919 person:08826699168 person:08895199851 person:09816798253 person:09887696109 person:09916797408 person:17867199799 person:10854599149 person:10890297728 person:29898498814 person:04855799508 person:28866996751 person:11915597183 person:11915498460 person:12816398973 person:12878299742 person:13845194739 person:18856198592 person:27859198770 person:15856399300 person:24885196124 person:06845499029 person:15816097972 person:14896895738 person:17816198593 person:17816898277 person:16827299891 person:07885796871 person:02898198947 person:01828396575 person:01854599379
08845899909,person:18887296924 person:18838199352 person:08847698382 person:31907199129 person:17918796592 person:05891349507 person:06814697809 person:15897195779 person:23818696981 person:27817099012 person:11918697189 person:28849097239 person:31909097900 person:14824598321 person:05908496924 person:04929798371 person:29817496855 person:14845899186 person:24858298322 person:03867698891 org:314135733 person:22867296224 person:03863949016 org:310557463 org:310908754 person:24847699414 person:22916799911 person:29926897541 person:26834999128 person:20819999598 person:29916097342 person:24893948526 person:02896299371 person:09865895310 person:07859698551 person:27928599316 person:23898797716 person:14816996199 person:20825096389 org:313505014 person:23926298577 org:310018546 person:22824698345 org:211018712 org:313375293 person:06905297811 person:11897197148 org:313180522 org:313667456 org:313788385 org:311127802 org:311722506 org:313275604 org:313626490 org:310920215 org:311036033 org:213742582 person:23817096514 org:312154048 person:10884797220 person:08856697399 person:03828197990 person:20916498773 person:22919696919 person:08826699168 person:08895199851 person:09816798253 person:09887696109 person:09916797408 person:17817398987 person:17867199799 person:16889299111 person:10890297728 person:29898498814 person:28866996751 person:11915597183 person:11903249767 person:12816398973 person:07844799688 person:25905398981 person:12878299742 person:18876699784 person:27859198770 person:14827599361 person:15856399300 person:15816097972 person:14896895738 person:15896899799 person:17816898277 person:16855896773 person:16827299891 person:03846898068 person:02898198947 person:01828396575 person:01854599379 person:01855199919 person:03868798598 person:03888396755 person:04827198019 person:15829899571
14856694942,org:310049964 org:312484749 org:312814234 org:310505293 org:212516252 org:310556963 org:313961885 org:310038679 org:312573342 org:313183572 person:14856694942
17856197921,person:15857398111 person:20917797103 person:12813149727 person:25819099181 person:12813449356 person:26816697130 person:04917398866 person:11814795995 org:310084522 person:07884799648 person:06846298736 person:04847799736 person:25852649731 person:23900098324 org:310016403 person:11865699117 person:01896597112 person:27839598926 person:19905399589 person:16816299954 org:311017608 org:310851973 person:01866697910 org:313600416 person:16853048929 org:210412182 org:312685027 org:213852582 org:312896257 org:213810502 person:11813249113 org:312588935 person:31856496794 person:08925397548 person:10889599664 person:19817098145 person:12878598316 person:13866399837 person:16837699774 person:16846898127 person:17848299405 person:04838299003 person:02885697154 person:09845899433 person:11816799106 person:12895699207 person:02907996983 person:23896297937 person:23866196214 person:24875594954 person:28819297039 person:28845395510 person:28846298756 person:28885698923 person:13815599548 person:29918798704 person:29916698494 person:13836595968 person:26887196906 person:25850099955 person:25849098015 person:06907096457 person:25899098741 person:17925598224 person:14810097893 person:21815898114 person:04866699939 person:11914098388 person:12863348763 person:28912849920 person:08882649343 person:28837996971 person:28858094749 person:21846597961 person:03838196763 person:24845399405 person:29837999381 person:24825897409 person:24907399520 person:01917698569 person:18816198603 person:22876696693 person:08848697355 org:310381683 org:211048042 org:310557056 org:312551233 org:310803669 org:310269506 org:312764911 org:312899515 org:313008266 org:313090248 org:313840689 org:310731374 org:310685909 org:212521302 org:312605465 org:212823562 org:213450972
27836297429,org:310114189 org:310173290 org:212537012 org:310729639 org:310660965 org:312529343 org:213618172 person:27836297429
19855498718,org:311034235 org:313850471 org:313557642 org:212547662 org:313191346 org:311002627 person:19855498718
09906899954,person:13885299525 org:310680672 org:314063112 org:210607242 org:310777293 person:11924898315 person:17816095778 person:01876097814 person:24837299965 person:31925198873 person:23893048790 person:08905098137 org:210201602 org:210624392 org:312875691 org:312448203 org:313429733 org:310474576 org:310530883 org:310711497 org:313555739 org:312868997 org:312901714 org:312910810 org:312944448 org:313295060 org:313391868 org:313664880 org:313689662 person:01906997467 person:14876699061 person:25867099509 person:17837099021 person:11825299426 org:314267281 org:313792897 org:310573515 org:313866955 org:313840379 org:310505382 org:313919668 org:313715159 org:310817422 org:314246586 org:313171108 org:313514773 org:313553280 org:314002482 org:310913634 org:311020250 org:311823280 org:311142232 org:311141244 org:312405172 org:312697599 org:312595443 org:211094672 org:310213837 org:213650092 org:310298115 org:310336955 org:310135291 org:212573892 org:213746472 org:210575502 org:211733462 org:212976652 org:213010832 org:214021692 org:214247542 org:214266032 org:310044458 org:310071560 org:310166901 org:310170070 org:310205222 org:310212938 org:310235482 org:310285900 org:310286680 org:310292192 org:310301876 org:310321923 org:310362646 org:310425370 org:310506001 org:310529001 org:310633496 org:310653373 org:310660914 org:310732397 org:310783943 org:310822019 org:310822825 org:310834920 org:310921394 org:310992186 org:311005901 org:311047205 org:311047876
21918297933,person:13885299525 org:310680672 org:314063112 org:210607242 org:310777293 person:11924898315 person:17816095778 person:01876097814 person:24837299965 person:31925198873 person:23893048790 person:08905098137 org:210201602 org:210624392 org:312875691 org:312448203 org:310236446 org:313429733 org:310474576 org:310530883 org:310711497 org:313555739 org:312868997 org:312901714 org:312910810 org:312944448 org:313295060 org:313391868 org:313664880 org:313689662 person:01906997467 person:14876699061 person:25867099509 person:17837099021 person:11825299426 org:314267281 org:313792897 org:310573515 org:313866955 org:313840379 org:310505382 org:313919668 org:313715159 org:310817422 org:314246586 org:313171108 org:313514773 org:313553280 org:314002482 org:310913634 org:311020250 org:311823280 org:311142232 org:311141244 org:312405172 org:312697599 org:312595443 org:211094672 org:310213837 org:213650092 org:310298115 org:310336955 org:310135291 org:212573892 org:213746472 org:210575502 org:211733462 org:212976652 org:213010832 org:214021692 org:214247542 org:214266032 org:310044458 org:310071560 org:310166901 org:310205222 org:310212938 org:310235482 org:310285900 org:310286680 org:310292192 org:310301876 org:310321923 org:310362646 org:310425370 org:310506001 org:310529001 org:310633496 org:310653373 org:310660914 org:310732397 org:310783943 org:310822019 org:310822825 org:310834920 org:310921394 org:310992186 org:311005901 org:311047205 org:311047876
08885795774,org:310543179 org:314241800 org:314241819 org:314254406 org:311815245 org:310160539 org:312886871 org:310348562 org:313781674 org:310421901 org:314007662 org:314254503 org:314254325 org:311190229 org:311167545 org:310327018 org:312467372 org:211759402 person:21864698104 person:20886097302 person:26875596933 org:310346438 org:310294373 org:311117084 org:310431095 org:312696053 org:312571668 org:310527106 org:313506223 org:312546760 org:312273322 org:312995921 org:212517232 org:314090055 org:311700758 org:314283902 org:313523829 org:312394480 org:312517485 org:312671077 org:312722291 org:313144615 org:313376311 org:314045149 org:314252039 org:314253663 org:310668532 org:310672386 org:310699349 org:310772526 org:310116270 org:310157643 org:310397024 org:312167158 org:312256304 org:313214338 org:312929295 org:310206911 org:210089322 org:310501484 org:310517615 org:310544140 org:310159697 org:312586932 org:310490326 org:310532924 org:310572527 org:310561517 org:310680664 org:310740403 org:310738336 org:313666646 org:314175271 org:213071602 org:310095028 org:314116941 org:314246942 org:314249801 org:314151275 org:314096665 org:313988988 org:314024230 org:314033590 org:312435454 org:313880885 org:313900150 org:313534081 org:313520390 org:313539571 org:313535738 org:313439542 org:313392139 org:313240096 org:314187733 org:311023888 org:310059803 org:314067924 org:313996573 org:313582957 org:313473988
