recipientType,recipientIdentifier
organization,314121775
organization,310627879
organization,313154297
organization,313937739
organization,313184390
organization,310468045
organization,314239733
organization,313059561
organization,310038679
organization,312496593
organization,313008266
organization,312950642
organization,312405172
organization,313994244
organization,313647978
organization,312245701
organization,313774864
organization,312285851
organization,313790797
organization,310960748
organization,310362646
organization,312939770
organization,311154591
organization,312676222
organization,313977129
organization,311736388
organization,310556963
organization,312440644
organization,313064220
organization,312409933
organization,311002627
organization,314242211
organization,310085154
organization,311048473
organization,313638928
organization,310778613
organization,312976382
organization,310780693
organization,312929295
organization,310679054
organization,314250753
organization,310755109
organization,314103955
organization,313144097
organization,313548562
organization,314278836
organization,314451821
organization,310742589
organization,312939053
organization,311715666
organization,312714051
organization,313603156
organization,312764911
organization,310526223
organization,314061047
organization,312804034
organization,314223055
organization,310079766
organization,313893138
organization,311823280
organization,313463850
organization,310191280
organization,313583430
organization,310242454
organization,313317161
organization,310191841
organization,312638940
organization,313376311
organization,313727378
organization,313320707
organization,313363082
organization,314241452
organization,312786427
organization,313183572
organization,313506223
organization,314101790
organization,310431265
organization,312512432
organization,313043908
organization,310630799
organization,311183311
organization,313919668
organization,313570118
organization,313038963
organization,310495670
organization,312215381
organization,313079228
organization,313903222
organization,310151440
organization,310122394
organization,312737426
organization,312542897
organization,310285900
organization,312720256
organization,310660914
organization,313679071
organization,313435296
organization,313167364
organization,312755998
organization,310730270
person,15895897164
person,05925297781
person,28858094749
person,18866599188
person,18909197348
person,31837796361
person,11916996987
person,24855497162
person,24849497185
person,23855099756
person,07823849758
person,05856996540
person,27857498696
person,05898296379
person,22834797058
person,29925899362
person,04908898031
person,12876397372
person,06926498817
person,29885699918
person,14890097570
person,13847896994
person,08867395777
person,17899899318
person,06866699907
person,18915297346
person,06928296901
person,12897096100
person,22866898484
person,31900199999
person,17836499077
person,06905798942
person,14887097225
person,09897997107
person,13873249727
person,05924199662
person,02866196748
person,09869598256
person,31907496700
person,12844997947
person,31817197321
person,14856694942
person,06815997385
person,26844499980
person,05846499875
person,10916596974
person,20915697136
person,01906498347
person,24855898191
person,06857097171
person,07915898801
person,01826696229
person,21887198699
person,14899499760
person,28833847394
person,28835098372
person,28887398846
person,02826998140
person,01856997479
person,26900299590
person,28819297039
person,01870198740
person,15857898106
person,26845199956
person,30926996475
person,20876498341
person,04906996338
person,22857998948
person,69896301535
person,12888798348
person,16816299954
person,14815699174
person,06895995566
person,20887196649
person,05814899731
person,02906696226
person,17817398987
person,23902548785
person,17907098559
person,49896701729
person,14875099532
person,01916599575
person,08825999354
person,07907399324
person,10848798571
person,24876696823
person,04847494625
person,19855498718
person,10897298509
person,11837194727
person,09917096101
person,01849998338
person,27836297429
person,27906299912
person,07816698183
person,21877094666
person,08879498296
person,21875098389
person,05908496924
person,06909399260
