orgNo,orgPartyId,orgPartyUuid,orgType,role,userId,userPartyUuid,userPid
313490114,51849191,a477a841-3465-4010-bc0b-a906d3a1cee5,AS,dagligleder,1444359,a3266d03-3599-45b2-9c07-e777c423e0f8,03874998779
310678961,51584855,fc67bbd0-a86c-459c-bc1f-bcd0d7765a43,AS,dagligleder,2339775,c7e28cf1-a939-475a-a84a-b0542aec48b7,20866198560
213842412,51494171,d4926cb4-ff37-44d2-88a8-e76a176d8bda,AS,dagligleder,2420110,da1e83b5-1bf7-4eda-8298-f51fa96f7bb5,16836697573
313491013,51633862,63f98979-bbda-43ed-ad56-93174a6dc91d,AS,dagligleder,1931831,6bb0d028-9343-47fe-a4f1-124f19baea14,06886799584
213178512,51487858,a021831f-2916-49d6-ac33-34ae8c7a0028,AS,dagligleder,1426537,12108b14-bea0-44dc-99ce-28d4885d95fb,07848997379
311008358,51613878,690e9ff7-c0f5-464d-a076-7e89429b02a4,AS,dagligleder,1906897,660a7ec1-0909-451e-8251-71c0ffda9e37,22817497180
310200093,51542337,cea00651-b8ea-46a2-88ab-93c8776f7a64,AS,dagligleder,1756694,43f2bd8f-df07-4bf6-b579-f81d25aec5cf,20894199378
311051148,51617667,2d79f093-b61a-402f-a7ce-f607fcb6f6df,AS,dagligleder,1872848,5e5397f7-20f0-43f3-a203-68244b32c9ca,06876599390
312668181,51639730,2fb265a5-e86b-4f03-b6f5-5e5aac0c7ef3,AS,dagligleder,341205,2bf645da-b3f5-44bf-8aee-5eaac7d913ed,14927796385
310735388,51589802,8e6bfbd3-ddab-4166-871b-ef80eccce5d1,AS,dagligleder,1287185,6b03dec1-8ea1-4691-8a9e-a5a07f1325ea,17847798335
312795078,51800938,c3061c1f-3435-4cd7-9d94-d7e2952c1f30,AS,dagligleder,1249768,ebf6b8c5-0e44-46c5-875f-76d777c0000d,31900199999
311185934,51629552,d07434dd-e569-4f6c-9e1b-466428620392,AS,dagligleder,1418869,d078bcf8-b98e-4c9b-b351-7abb0c40c35b,29887097796
313185079,51828149,5535a0f5-fbeb-47bd-b276-b5aa5226b505,AS,dagligleder,2098752,91436cfd-9903-4362-b683-629e18e81fde,16877198794
314194861,51897883,e3519639-d864-458e-946d-954099b6cf60,AS,dagligleder,1740625,405d8160-9be9-4a58-a4ed-5db73e8b6538,19867594925
312993163,51814723,b9abfae9-37aa-43ae-afe1-d2b31a027e9b,AS,dagligleder,1722473,3c3d665c-eab2-42af-a7b0-6c298a344880,06842647728
314036484,51733594,4c665a06-c1e2-464f-b964-0ef49a9704ef,AS,dagligleder,1448596,c31fae05-2c66-4c8e-9379-279875a84c9e,14899499760
312435276,51671621,0e2a1e61-9989-4eb7-a05b-38723d0ecc06,AS,dagligleder,2419980,da17ab41-c7ff-48c8-b030-404a4a3cb9c5,14896397592
310999776,51613106,ea443912-9380-4516-8e04-809a5e542c7b,AS,dagligleder,2165492,a06aecde-52a3-445d-9e5d-35c456181ef0,27908898090
311178652,51628913,58df3e55-72c1-425e-ba31-8987a472a601,AS,dagligleder,2343311,c8b54cf6-5ce8-4bcc-babb-b20fa48a70dd,05856996540
210463372,51454258,c9714f71-abba-4639-9cf7-4976ea3c419d,AS,dagligleder,1516242,0d7bdea1-f7a5-4020-8674-b3b64e898684,49896701729
311710826,51699097,3c6497e0-1186-40ef-a136-ca75510a42e2,AS,dagligleder,2385676,d24f0eb8-5ed1-441e-85cf-c149260e9eb0,03817098079
313036251,51817736,254dec8c-14c0-458f-ae72-a2354c5e84dc,AS,dagligleder,1287101,5aac4aa0-ca24-4944-834b-1b52457d098c,02858496767
310711071,51587693,acbe21b9-4101-48b0-a692-63118af5b5c9,AS,dagligleder,2187640,a5587810-1ec8-4fc8-bc38-2664cf76c6ba,09826496875
314215362,51668341,214af077-d779-4dbb-a80e-18ec479267b4,AS,dagligleder,2585091,ff67a34d-dff9-43a0-845f-5f59b20bef26,15929899358
312783916,51638520,607ac2ad-b9c8-46c8-b33b-6113776dae09,AS,dagligleder,1565597,18b1cd38-1a11-4991-98f0-532de909a2f6,08898699588
313804577,51688047,d6390d0e-944d-4256-b6e8-5cb81e64d3c9,AS,dagligleder,2568051,fb911976-8438-49b4-b9de-9f9ee1f1587f,28926699824
313475670,51644227,3c90c2ea-a1f2-4c21-a6aa-06e5d707f76e,AS,dagligleder,1453891,1d812cb3-ec6f-4ac5-a3e6-40053b8ffa0d,12876397372
313995186,51884122,cf3ed23b-82b5-4c85-9fba-f49b7d25192c,AS,dagligleder,2583643,ff12a254-3d28-46bc-b8f5-35f4fd5d85c7,10827699689
312622467,51788883,7db2da6c-33d4-4a7f-bb52-14b74e7fc69c,AS,dagligleder,2001391,7b4ebef0-624c-4719-b847-2b7cb13c9bb4,14837295468
311138235,51625362,c0c3d311-b7b7-42ef-ad4f-5a50c81b4269,AS,dagligleder,2558806,f97c5d1a-1717-4d03-b2d4-1379879010e4,06905798942
310433640,51563138,e649618b-e71e-4e5e-95a2-63c7a1258a12,AS,dagligleder,2170231,a17be40f-7a13-40f4-aefb-dc8d6dc13a63,11885195948
313600335,51856846,6ca45e7e-d537-4cf7-9eea-490eeabc29a3,AS,dagligleder,1878861,5fb29baa-a474-47b6-b355-11d46b7e2cf4,04925799314
310477664,51567037,76a30d16-652d-464b-bd37-ce03f2fc23cb,AS,dagligleder,2244061,b22980a7-0ab8-4167-bc91-ec82165d7c35,04833049955
312777061,51799679,48a9c312-d606-4111-b13c-cb277072a291,AS,dagligleder,1530520,10bf52c1-500c-4507-a128-acef88577034,29849199461
313475751,51848219,5095e2bd-90cd-4958-94d8-2a2af0f14a4c,AS,dagligleder,2309337,c0fa4c77-42d9-41d4-809f-084f5e3b8ffb,26899497294
313603156,51708197,a57d96c3-2f91-4ebb-8fa5-428836d5faed,AS,dagligleder,1427290,78538471-c7cb-4bd8-b0e5-6f9ffa76c178,22857998352
311125524,51624244,e36a2f39-8d83-46fc-9bde-3b895c4b9943,AS,dagligleder,1977830,7604ac54-2c99-404b-8d6e-caf79ef65400,19875996943
312245701,51466789,c6eeb108-ed38-46ed-97f7-685760f98fd7,AS,dagligleder,1453194,5ce5b1a1-11c2-4f5d-b489-9c8903e8ee8b,18825298939
213981102,51452520,e82a0733-db6e-4e31-889c-268e7a0cff3d,AS,dagligleder,2288368,bc389abe-8b1b-4efd-99d5-61ae047fd522,20875599128
313145751,51692257,f078691e-bdc2-4920-89e7-232746c5a626,AS,dagligleder,2270670,b83bc6ff-8903-48da-9745-158f7e8a2076,09824098503
312604620,51787639,cb89eaf0-7a6f-4c86-bfbf-4a1a0e53d6c6,AS,dagligleder,1602234,21014090-bd79-4d48-94b2-5ef0eb82d212,26908799339
312481944,51779027,47801554-555a-45a5-b85d-1eac64c8d5f4,AS,dagligleder,1248670,a70f5df7-974f-4754-942a-e71273e7c0da,27826797342
210780602,51457733,7cf54377-c698-4ef5-838d-1228b95e8f64,AS,dagligleder,2164177,a01bdd8c-c44a-43f3-8a79-e72df0e6d11e,17886898207
313464806,51642795,c967fa61-0213-4ff9-a142-b1ba5b016d97,AS,dagligleder,1442259,8240a836-7fcd-4d06-a876-60bd8c6b8e3d,05898296379
314259122,51487491,d7eec888-479b-416c-b3e0-3004e778883f,AS,dagligleder,2293803,bd735c17-c46a-41a9-83e0-d954d949be78,20908698771
313236900,51686363,3320cc5b-2a3b-4764-ac6a-3426cddbec67,AS,dagligleder,2571804,fc69d478-6d3b-449b-855b-597682bc8731,29819497433
210802312,51457962,92bb87a1-bb73-4d2b-bfb1-e1dede5892db,AS,dagligleder,2573005,fcae7e09-a04f-4e51-93dd-e0b0246c9d59,04857498556
312993872,51814778,16c06ba0-1a0e-441f-87dd-9ead8cd117c3,AS,dagligleder,2057911,880e37db-1b3c-4df3-8428-ff13504fa34b,09813448979
312689480,51793529,ef31c101-985b-44e3-ae58-5688f80b78d5,AS,dagligleder,1540584,1303a995-62e3-4974-a3b2-08066f81d082,10837299786
312982056,51813946,35a0cb27-6bd5-4302-b5c0-187bdb54a9f1,AS,dagligleder,175865,ea6bb2d1-7394-41bf-93c9-ca78f9bd7b5a,18854099732
311721240,51466092,da5040d1-4876-4737-9911-970d88895718,AS,dagligleder,1783037,4a02f8ae-1398-436c-9dff-a2f4681c492c,16896899566
310418498,51561792,176a4771-4c62-4d62-8864-d8c3cf1d5afe,AS,dagligleder,1249129,35991700-1063-4c1e-a9ac-b3b02785afe7,28915196340
313679551,51518048,20a7062b-1120-4a9b-8d40-8a3633d25e4c,AS,dagligleder,1271820,891fe15e-81d1-4246-ac37-43806ecad338,26906498374
313863212,51874983,f2e9e751-622e-4daf-9887-646092475b9b,AS,dagligleder,1429033,fdd10a2d-0441-4e34-87d1-cae46ecd6b4e,19815099144
312444585,51776459,1378f240-9eab-47bd-a677-054d96793c06,AS,dagligleder,1702512,37ad7da7-4148-4874-85e2-d81c8f367613,10826097715
310824399,51597669,fe21679d-91e6-48cc-8ed0-6fc53b588180,AS,dagligleder,2432207,dcdc0434-6ec5-4b4c-b902-696ee6dd1b45,12927296908
311120581,51623808,1f73880f-ac21-473c-8a61-0035dad8c37b,AS,dagligleder,1248542,4b482374-6e1e-4533-af2a-c93fee8213a3,26898196843
312632624,51789591,94b7cfd6-0e0d-407e-a99d-133326cb3787,AS,dagligleder,1456397,c34f0f6b-0c20-4887-b224-501fdf5921b8,27897698345
312497409,51780106,4d15d8bf-a364-4c6d-82d3-5d5e963003bf,AS,dagligleder,159712,7bd79caf-8a03-4425-a060-ac6562f963a2,07812648319
311072838,51619592,06e816ed-54b9-4485-9c3f-d206c17a5482,AS,dagligleder,1591036,1e779df3-e551-4abc-a155-1cbdd01b9ac8,14895599507
313745678,51866887,5ddc0312-698a-4357-bd30-243ddab81b6a,AS,dagligleder,1248350,85464107-aa3c-4e60-a9f4-5cd80ddd53ec,26814795941
312798433,51801159,a0d04071-26b6-4538-bba3-f54e5dd20682,AS,dagligleder,160456,024b822b-b28b-4d37-b11d-0bc76a9f561b,01882547953
312584832,51786254,bf433375-e999-4eeb-95f4-ac65fe8bd74d,AS,dagligleder,2430878,dc8e25d4-d797-4217-857e-a0ccf78153d9,08925199193
313484963,51848845,b5e9a2d9-bb60-4752-9bcc-33ee305e0f66,AS,dagligleder,1834465,55b8beaf-0054-4e99-850f-94cde02dacd3,21887397675
310468045,51566197,ba39c243-842e-4514-a28e-5f27f4cbd0f7,AS,dagligleder,1516046,0d70d4ab-f860-46e8-808d-82059b02dd24,19885196724
312773724,51799448,e8f78e64-3c78-41ea-b34c-e64e04175938,AS,dagligleder,2094168,903dcdf5-3f96-423b-b790-e1e95a6477a2,24849497185
314094948,51890994,ea2b0305-decb-46de-b0c3-082741f34d11,AS,dagligleder,1523378,0f19b874-ab8b-418e-a92a-23e29b218658,22855197565
311780115,51677568,fad409c5-dd22-40f9-aa5d-91afa1f0dd5c,AS,dagligleder,1427224,dea9a4ed-5f40-440e-a417-4abde494d7b1,22848398628
310823465,51597590,5f3bc24e-6248-4767-bb27-6ba3e0850d35,AS,dagligleder,153653,526aad7d-a429-4778-b8ab-ab9a50e50f62,16906399761
310847925,51599725,0f38db60-dde8-4f85-8428-60c4b4de4fd1,AS,dagligleder,2583921,ff2296f3-7671-457c-af67-e742224edb34,26857996398
313755339,51867541,f307f9e4-9b9a-473f-be68-b605c8630c45,AS,dagligleder,1736480,3f6e2a35-1181-4970-aadf-6384f9f9e822,12856099189
212507172,51481367,cca0fc12-85ad-40d9-9fb1-87e2fc37c155,AS,dagligleder,2284834,bb6faef2-1520-4bb1-9352-52c145584920,28867396936
310210722,51543274,603bb1e3-e9b4-42ba-ba13-fbfe7a079611,AS,dagligleder,1268989,296c4d33-19c5-47e3-89ce-c4ae6859436b,31837796361
214206072,51497584,7587f422-5f1a-482c-9ebd-a4b70465dfcb,AS,dagligleder,1448654,bdff733f-0ef7-4e25-9f1f-3a0790a099b9,12827297168
312244462,51756004,e2ff6415-a89b-48e7-9b3c-0defcc6bca06,AS,dagligleder,760933,1b3d9fc3-1711-40ba-8be1-3df987d2e0b9,20876498341
313762327,51868013,18a16a12-e1f9-4c82-b599-a0f6f3199972,AS,dagligleder,1750977,42ab9f79-397a-4c12-b897-e095fcf832cc,13845895397
310021040,51526233,4e5e77f6-cc79-4397-9734-18167c869f8a,AS,dagligleder,162476,7416dadc-b3d5-48d4-b934-fbb1c786b545,12856297533
313665429,51861360,f7e407b8-d933-44ff-9e4b-2492d063d3eb,AS,dagligleder,735841,500fcbce-fc87-4b88-947f-220296b2de81,05875697929
311186892,51629641,244d90bd-605d-471f-b79b-c7fcd90779b4,AS,dagligleder,1715903,3ab91b38-badc-4896-8bc1-71abc94c485f,28917999572
212766992,51476729,f2ca268e-c27b-4baf-90f6-ce27447768dc,AS,dagligleder,1784285,4a4e4494-a938-4f2d-8c19-f7651eca7ba3,19879097358
313380785,51841635,a56ebdaf-d987-42dc-8408-f516e5b2ad91,AS,dagligleder,2369228,ce8a48f7-5f88-4f05-84c4-fba7a80d787c,19916398703
313297934,51649204,1866fcf9-7532-4fe5-a5df-687eaff39a7b,AS,dagligleder,1716075,3ac2899b-2326-4633-b717-80401aa8aac8,11897597979
313362930,51519709,f6c1c7b5-dc5b-4582-bafb-9347caef525d,AS,dagligleder,2346723,c9784f29-e97f-464f-b7ea-95a0da04b4fd,21838098131
312904195,51808486,6c84d57f-091c-4681-b264-b81233b7afe8,AS,dagligleder,1249042,0a4c7b3a-d44a-4303-a1bc-a36c7fd925a7,28878598492
314128095,51893297,3e4b6651-e04d-4252-999f-89d1d2ffb78c,AS,dagligleder,1429142,9517e2d4-31cf-4aa7-852c-1b1bb4dac2b3,24878398838
314223055,51635819,dc740665-d3fb-4be6-ac96-e317e7b79f88,AS,dagligleder,1877982,5f7fb4cc-0b6e-4008-9c30-7e8188b7c462,11916996987
312280981,51511272,a97c6f9d-ba14-4545-a598-d7b35537e6ba,AS,dagligleder,186333,6592eadd-7da6-45a6-a065-dd7721b8fdeb,26900299590
313700836,51863775,f1c13410-9599-4cb2-ad4b-a05c23d390ab,AS,dagligleder,1724089,3c99c56c-454c-4864-90a2-ab8bd2c1f6dc,14816598479
310888702,51603313,399ef819-5e6a-434b-ba07-cc06ffc39e82,AS,dagligleder,2239502,b122d1f3-9b48-448b-a7ee-b653efa32a61,03865299302
210363122,51453149,2fa3376e-2000-47cb-ba82-7f89daac0fa8,AS,dagligleder,1797827,4d62d0b4-1c7c-4431-b2c0-147afc8019b8,31816099393
312918412,51809490,1e1b7936-41d7-4952-a44d-afa809f96365,AS,dagligleder,1954037,70bbd7d2-fc86-4565-b5cc-6208f0039332,21816798555
310624500,51580043,5962cd7f-4e33-4355-9f40-34db8141dca7,AS,dagligleder,1533618,116f2c6d-e8aa-4c7b-86ad-06dff78ff953,15816096402
211148292,51461527,73037162-cfd5-4fc4-a9bf-9808cd6b415e,AS,dagligleder,1863665,5c47ba60-e6d4-49c3-8ee1-f5939fa7bece,10915699680
310914606,51605601,ad66651a-a56d-4413-bd80-6b4958146367,AS,dagligleder,1954857,70e632a8-0df6-4722-8273-821d116242bd,28887398846
313890740,51876881,056ab126-09f8-4f0c-aa7c-f5bcfea89702,AS,dagligleder,1444352,e494c08f-cdf2-45bd-8ed1-f4f2aad4c827,06866699907
214210592,51497628,03d0cf4a-268f-4386-b81d-972865c54821,AS,dagligleder,1967263,73a5d2f6-9561-437a-b297-57b999bd190d,17858599024
313638928,51630573,42b98915-2e6a-4c68-9dc2-11a7f37460a4,AS,dagligleder,2448178,e07b8fcb-c902-4c66-83f7-c86dcf2d6a57,04885299755
313799190,51870543,ab0c807b-baa1-43e3-9298-f72bf01dcaa3,AS,dagligleder,1663975,2ee7d164-6e13-46df-9161-db76526f2fdc,18888299161
310397822,51559959,3664d4f9-b923-407b-9f19-b2f810bbf4e6,AS,dagligleder,309226,29d05c5b-7030-4b7e-9798-a2d731d320e1,18866599188
312454696,51777161,2fb75df7-d964-414f-83f2-5b20762fb67a,AS,dagligleder,1819600,5258a1cb-a84b-4924-8f77-ca5c9ab24e00,07836696314
313345416,51839229,7a4bab32-66fb-43d3-b5ad-8d77eb342922,ENK,innehaver,2417756,d992bed6-c920-4dc8-b6a7-eb9c5d4214b6,24867296626
313490475,51849222,e71feeb1-47f0-46bb-9012-5641ca3c0721,ENK,innehaver,2172578,a20526a5-47b7-4f15-aeab-da94ef3b18c8,18849899569
312660091,51791507,bdbff99b-2115-4c59-8832-bdfdcae0315e,ENK,innehaver,2240833,b16f6ea7-002c-4a8a-b7e8-88be24d8830c,16846799676
314153421,51895036,02d5c281-c880-4199-bdd0-0d5cd7b871b6,ENK,innehaver,2558052,f9511f71-3eb8-4d7d-be1e-74c74ba5eb26,25919497001
213764292,51493426,d891f943-929a-4b1b-89bd-a5bec6dbfcc9,ENK,innehaver,1569739,199c4e7d-9cef-4098-bcc8-0a19acfd57c7,23855099756
313219682,51830551,b799c45c-19ad-469d-bd18-0918f8526ca1,ENK,innehaver,2098710,91403fe4-aff5-45cf-a5aa-28d7e4cf8fbe,30887297858
310191841,51541599,a24be5ef-b3a3-44bf-bf9c-77ad50e6e17c,ENK,innehaver,2430083,dc619c43-01ca-4d15-91d4-ae7dfef2a408,21847796380
313179060,51468121,d1026cc3-467c-45cc-a324-9c0cfa5f9703,ENK,innehaver,2362400,cd05434d-3a82-43e0-beda-ea660d9f0059,20909199418
312638940,51790041,b6855634-8f6f-452e-b34a-cf3235d08373,ENK,innehaver,2405798,d6d8443b-03d5-45c8-a335-59e27309490c,19887299768
312549611,51783741,ed786b3d-5449-4155-8c72-1f93ec03e7b2,ENK,innehaver,2139228,9a6b0d5b-9240-4d03-9bda-6b97ec828e1d,25829099171
310617776,51579456,b45816d1-f3cc-4352-9c99-13836258cf9f,ENK,innehaver,1741842,40a3ee20-7107-45e1-b284-557858053893,27877298553
312157829,51749739,54695e62-cc4b-4228-b17e-82e28c93fd77,ENK,innehaver,1949776,6fc3955b-c8d6-4c98-af8c-46cff9cfa12b,15818997806
210306552,51452483,4b95c5df-196b-467b-a762-8d9fc982b169,ENK,innehaver,1898736,64353364-0e26-4915-9ab2-5ef9f8c449e3,30868998292
313780651,51719109,cbceec10-5d03-4e84-91d1-3d419fba5c39,ENK,innehaver,1415797,0dcbfde8-4e54-4d63-bb60-87e55c9b8d0b,02887096735
312496372,51679603,95887b53-c173-47a4-a3bb-5e1ebc629d90,ENK,innehaver,1422212,8da12333-40b7-4e99-84f9-3c7d344431bd,14849297334
310179248,51540462,815dc542-ab99-47b3-8a5f-be71ea8c2a7c,ENK,innehaver,1943955,6e751273-5339-4b92-9884-b24c0a547a58,24866098596
210687602,51456730,5e8ec2bc-0504-4e3b-afce-1be4b91264bb,ENK,innehaver,1881394,60460126-0e22-415d-8e25-dfa3d35c690a,06926498817
312442205,51721586,19030da8-2894-4108-a9fe-a0844bc51da3,ENK,innehaver,1983069,772ed119-fe43-43cb-834e-cea5f9cbcacc,22817797052
313515745,51850988,14d79f18-d167-4b2e-9d5e-754ecbccfabc,ENK,innehaver,1831928,5523d93f-2696-4c59-b238-4506080e1e7f,26927299991
310191280,51541550,ea2766d4-e3b5-40f5-87a6-d581b4de31d1,ENK,innehaver,2135786,99a72a26-0bce-4474-b33e-6233f3f5280e,12877197792
213099302,51487105,f654d3b1-5ee9-46e7-ba56-b8d9dfb5ce81,ENK,innehaver,2043057,84b1e982-9522-4067-bca9-3c79949884ae,01928597934
313689131,51862973,d568f866-2982-4229-ae94-346edf6dd092,ENK,innehaver,1829796,54a728c7-6939-4530-9f75-1eca3cc9de32,05846499875
