orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType
313490114,51635821,0531b6c7-61a0-4dbb-bdfb-6fddd4abb6f0,20162689,1fa37bc5-45c0-4c7d-b4d9-eae42051ffab,03874998779,AS
312939053,51235148,cc90e65a-1fa9-4631-8d6e-384cd144317d,20013171,14a06e51-a34a-4ce1-a6a4-068308bd57b6,24856398710,revisor
314241118,51235199,619b6537-08ab-40b1-a844-4041fef740ea,20401606,5230782b-9475-4b91-8279-6ee3a67a7f08,14896895304,regnskapsforer
310678961,51371324,447d5c4c-2760-4fa4-899c-a5a1d5c21631,20175158,2249b142-05ab-4ca4-8d70-c7daa6332c2c,20866198560,AS
312705672,51238280,66010860-0980-42c9-be37-7c60ad09625f,20903751,bc84a507-73c3-4cc1-998f-0125df7cf5a8,03826995709,revisor
314244680,51238562,c9089976-9a5c-4d0c-801e-9e066f6e4825,20199381,276d90fe-4411-43bd-948c-b18781d25e2f,15895897164,regnskapsforer
314265939,51271036,078c006f-0241-4314-b514-35a17ba2f87a,20737880,9977b7ea-d4a0-464a-96c6-439115d9b7a4,13845994514,forretningsforer
213842412,51280650,e6b66446-3412-4c06-9046-b6fb01f7d7f2,21096699,e557b9e2-253d-469b-99a3-eb9dc10a7d9c,16836697573,AS
310495670,51235192,806e41fb-c429-490f-880d-bb0b92bb7bd9,20013166,7d7c3711-f254-494f-9135-dc83e5bb7ecd,13886499404,revisor
314248449,51238875,d12ed266-9bca-473c-9a79-33694ab55f24,21134909,ed6f369b-f1ea-4bee-9fea-90246e657e64,17836499077,regnskapsforer
314305582,51243202,d16ade36-63d6-4c71-b474-54fc7643f409,20349376,472c6c90-f0e7-40ff-9fde-4f113a5973cb,05814899731,forretningsforer
313491013,51420302,be9382bb-efe1-4fa3-ba8c-0afcd1aa2e20,21208588,fd2471dc-7164-45c5-86dc-8f36be3c91db,06886799584,AS
313588270,51235098,ea9611a5-65bf-4635-8ff5-0f03a44dd022,20013170,8de3f24d-ec72-4a00-8e89-181fd813d410,23812849735,revisor
314241452,51238807,132651da-9e6d-4242-8d75-a5229f29755d,21072650,e02fc60c-565f-4456-b6bc-dccb684eab08,01849998338,regnskapsforer
310343439,51236096,6269d9da-9009-4c88-8dd9-60211f996da6,20085131,0f2f7d10-4fa7-48c3-ab31-0de459171612,27849297746,forretningsforer
213178512,51274340,dac48447-481b-4191-806d-d35807a3924b,21218768,ff4e62ec-1f66-4d89-a27b-f1e33710b059,07848997379,AS
314249739,51283876,bca78fe3-cc41-49a3-95fa-e1d5793c222f,20483865,655a3a65-6af3-42df-9ffa-51a5d0b6c716,01846099855,revisor
311186558,51236095,309cc9ad-71d3-450d-ada8-e1f1be6fcadf,20793217,a534b2ab-8767-4747-bcef-b84b8ef04358,24896097691,regnskapsforer
312925613,51268006,c4fad942-c861-4692-88c5-03aa23d55ca1,20583254,78b0b0c7-e76b-4653-8bc0-f590469a246c,08896599349,forretningsforer
311008358,51400345,3910ffd3-21cf-4227-ad44-3a10b0450600,20536318,6ebc9664-a2d6-4cfb-854e-23287618ce1c,22817497180,AS
311136852,51235129,6d435c4a-c824-464e-8322-102023ee3cdc,20352179,47c79578-2e4f-494d-bc18-e4f03dcc6e32,11925996949,revisor
314239415,51235324,240832f6-8564-4b8e-ae5a-eef19566698a,20689952,8f520748-643b-44b4-b807-c9fa8deee619,02915597141,regnskapsforer
314239431,51235233,3784ea01-42d2-43e1-a4d7-329e63b83d13,20013254,8c33d2f6-e75a-4d69-99b4-5d6fdafcfa84,11866799328,forretningsforer
310200093,51328806,c7f980a8-ba21-47a7-9319-112d2369a246,20415282,5515c045-44aa-4517-8c05-fa68133e28a2,20894199378,AS
314319427,51267140,92395bf8-5e74-4646-8764-a53d5930d44c,20571014,761dab6b-122c-41af-b53c-1242141477d7,20835999565,revisor
313305902,51236214,770ac064-6dfd-4981-8f93-53d79037af62,20479714,647b4332-9504-45ef-a509-fa9061e3c68b,07897497063,regnskapsforer
313175650,51236521,d591b90d-e1a2-4de5-8df4-482cd464853c,20183733,241db61f-7cf8-46af-a407-b92508054678,09926196194,forretningsforer
214252872,51236884,85550aa7-b1e6-4904-ad6e-cf5486d9cf8d,20457083,5df45897-9745-4d78-986a-c82ec81e425c,14847199963,revisor
313514803,51236719,9966921c-cbfc-42f9-a7b6-6cb78fed1219,20016883,2ae79939-5e68-4e8d-a0bc-44dd65cb0970,12897096100,regnskapsforer
314239377,51240942,635c446c-7f28-473f-b034-857c2e11b7e1,20179139,2325778a-4534-4531-bbee-b813fbf09248,01885798000,forretningsforer
311051148,51404132,05e149e8-62ce-4e8f-8d14-f95ba2c3c03a,20610117,7e63a5c0-5175-451c-967d-bd00e25f1582,06876599390,AS
212779342,51235250,dfb86ee2-6a96-44f5-b73e-29f8e037dcea,20013217,3c1950cb-e2c3-4a8e-ac13-28c49630ce8d,13877196857,revisor
314248465,51237971,648b320e-1124-4b57-986d-a30c5bae7976,20511758,69e2a3e8-07a9-40d3-9013-780ffb3625c8,20915697136,regnskapsforer
312834545,51394093,2a61aaad-0208-402a-bff5-47edc84b19c6,21084426,e2b8816d-5abd-43db-9beb-4d89a4ce7f6a,03907098299,forretningsforer
312668181,51426209,136af559-277d-46d0-96e9-55c1f8a535ff,20902912,bc58c110-32d5-4b6a-ac67-29311727eee1,14927796385,AS
314239822,51235094,fc4356c0-ad47-42fc-9fea-b13cdeb917bc,20997106,d02f838c-8d95-489c-92a6-ae064f5c6866,11866598926,revisor
310149969,51235347,b43b1767-6149-4c41-8fab-86eead0eaea1,20313921,3f965796-46ca-4781-9192-6664e2cd8047,04847494625,regnskapsforer
312673444,51246412,694abd6c-df2e-4380-9d66-7697b2821e6a,20993836,cf838856-dda6-47b6-9b70-f839bfaa6681,18816899504,forretningsforer
310735388,51376276,ed74b604-57d9-4da2-b2d6-8fe4904e2074,20181263,2395b463-5364-479e-adcf-f3c5c23b254a,17847798335,AS
310990361,51235138,49939ae0-f5e0-4987-aaf3-606b6a01b986,20753146,9cb18b9c-912c-41e6-aff5-c27e7288baf6,25877799797,revisor
