orgNo,partyId,ssn,userId,userPartyId,orgUuid,partyUuid,lastName
212634182,61771322,16823448922,4501885,61771327,2f873477-c4b9-4dfc-a065-b8aee613d8af,e3ce6352-1275-4564-897a-e3e574506219,regle
212635502,61771359,28845397521,4563227,61771366,9bee4fb5-31e8-406b-9509-31ed6d4e1f8c,0c0f595f-043f-45c7-8e3e-3d6f7f9c9360,produksjon
212635952,61771379,30914699785,4561976,61771402,7665cf51-1c59-4e85-9ce3-d220bf268fae,c0ef2399-a67b-4d73-b46d-5af32512252c,dregg
212636142,61771381,03815799932,4538278,61771404,024ed25f-3c98-4ce6-ab7a-539019ca4640,87fb496e-8da9-4059-bf3e-b903f5dfaf5d,kokeplate
212636312,61771410,14927597722,4542046,61771418,44d48fb9-73c4-44e8-b8db-7c99a6a4bb9b,b7d0712c-19de-4e57-bf07-6940032151ad,plyndring
212636592,61771412,27852549799,4539164,61771424,b25ad98c-aee5-4f2e-a441-385ae9318e67,55421c7d-5aa8-4c39-99c4-e215542bf1e3,vaskemaskin
212637092,61771431,02905499141,4505809,61771445,38820b40-aca8-4b12-bed7-d569997d9863,77d504b7-7689-4b30-a1fb-79540be722b3,kålrabi
212638102,61771473,21926797619,4539151,61771479,dcd0d02f-75db-4fb2-b8c9-598e41c4d5af,816d3f15-b4b9-4e20-8d00-8fd3335185ed,frihet
212638242,61771481,09875898105,4525404,61771485,159d40f7-9901-45f1-891d-eae0e0dfea24,b3319188-42e5-4e6b-b896-ff0ba2c9b55b,blund
212638692,61771488,15916398252,4552409,61771496,4e0fc971-a8da-4c4a-a846-917aad0270ef,42214b54-09b2-4365-b499-7ac34bf1c6e8,nettverkskabel
212639842,61771516,29885297348,4503559,61771530,f348f3f2-06b4-4f87-9f41-9bcb3ffd941e,633af551-4d23-4575-95c1-0d71dacfa678,hunkatt
212640522,61771550,29897196156,4536196,61771553,37f17cc7-0efb-4165-bf33-b3dc0f2bc293,21c4077f-84a4-4dfb-a8f3-b586553571b4,medvind
212641162,61771559,26874997772,4553914,61771564,aac69788-a9dc-4a93-895b-6afc70170aaa,af101947-1689-4623-96c5-08dbdffb7049,herre
212641472,61771570,19873447934,4541269,61713641,da32a59f-3007-468b-ae32-ed9876ef4f58,941dd4a6-f517-4cee-83d5-a40d84d8ea4a,beskjed
212641502,61771569,05926898770,4551053,61771574,025b014b-8d63-4382-885f-cf19ac664e37,a990a97f-923d-480d-812a-a3079eb880dd,badeand
212642452,61771593,07866898922,4521160,61771594,e8135783-49b3-46e3-b7f6-347e9c8ea254,5626d0dc-cf9d-4883-9a1e-7fcf7be8475c,landmåler
212643432,61771611,06923648931,4568087,61771616,cd880e83-ce1f-4a39-bdf7-96cf1f567a86,afd73d96-1edb-4a31-9c7f-9308f615e8b4,frende
212643572,61771613,28886899434,4555376,61771619,70f59b62-e5c6-4ad6-9924-ab28700a9fdf,faaf2ce7-9534-4b55-b5d6-4aeecbb848a4,restaurant
212644692,61771646,12839899392,4503307,61771663,6599e578-d3ad-4c8a-8839-794acae45f8a,5dd431de-e152-41a8-b6d5-928832616098,ingress
212644862,61771654,17835499987,4504518,61771665,a7ea32a8-ae53-4969-b6a1-c1ebf38a58e2,b6343385-5ace-4b5c-b6b7-f18b0a73a5ae,garanti
212647802,61771753,23814799956,4560980,61771763,f889af49-d6bf-426b-afe4-da26d47790a2,f13f7b5d-3d6d-412c-a77d-3bab05a16792,fjell
212647942,61771764,24853349778,4561667,61771766,7df87a1f-ddb5-4c9f-9001-032a2554cca5,1cc5d290-a203-4a1b-a184-57d0b6777cf9,folk
212648132,61771765,18908699668,4536388,61771770,cfb4da05-3727-4718-a775-09229a2cbe20,b439a587-b0b0-432e-a79e-ac775f6b618f,arkitektur
212648922,61771789,25894999996,4563530,61771799,a9775d51-7d69-41e7-a9d4-66e3eb8bfac5,6a80c2e3-451e-4b6e-aee3-4e7e9e255ad4,november
212649112,61771792,29865896741,4560793,61771803,874dcbad-2f6e-4177-998a-faa5affea139,ac1b01a1-18f0-4cf3-8203-ff20cd28a932,komposisjon
212649252,61771804,10828698732,4504614,61771811,cf57f46d-6d59-4762-8bbc-6f1a5cbec4e7,bf69f1fd-db0d-464c-b6ed-a844092948a7,barneskole
212649902,61771818,19899899639,4539541,61771825,15f8fd6c-3462-4f2e-b42f-6b4d3f586b39,1c0d1665-05e9-41a2-88cd-1906da0dc50f,volleyball
212650692,61771844,50888100269,4560270,61771852,e6819972-3f4c-4e1e-82b9-54cf6ed81e1d,0a37a2b3-4d0b-44fc-8c94-26a78bd4fe37,synd
212651192,61771858,02857799081,4550616,61771862,fa7ca460-43e3-459a-a1aa-c18b1d78f5e3,12b61af7-48b2-40ee-80ac-76e50d02e5ca,forventning
212651702,61771869,22813449327,4563511,61771875,08bfec16-4a34-4719-84c4-a250e63cde05,0238a750-35e9-4a78-9034-5c73ad42a041,fant
212652032,61771872,16856698770,4543360,61771880,17c2faba-1bde-4b06-946f-1ff3d2bcd0ef,8fdd624b-1548-43a8-a8b0-6ce6eacb9234,hatt
212653632,61771925,11857598530,4568483,61771930,6980445b-93f7-4ca6-a69f-bab44d5d534d,098025b2-fdad-4932-a705-1532d181eebe,parykk
212655392,61771986,19879698076,4545894,61771992,a4dd8992-8bc9-4a19-87fd-b7d7e01f234b,9572e857-f3c3-4ef5-8fef-06784d637fc1,rekkefølge
212655732,61771989,24814999765,4503927,61771999,a416b552-d52b-4123-91ee-97360ca790fe,3acc4be7-ca0f-468b-95dd-e1a4bd882295,heis
212656712,61772015,06868996798,4545875,61772019,c77b9d3f-9dc7-46fa-a9e6-f66d6121b332,e2756a6a-1f33-4f6c-bd60-5270acf133cb,bønne
212658332,61772058,25891598710,4568196,61772062,24531390-23d3-4474-9c4f-c35312a8f6ee,edf305d8-91df-4531-b1ed-97c002929376,bukspyttkjertel
212658782,61772064,03846297501,4536572,61772078,f16ebf00-ea0a-4a87-9888-0724fe2969c0,f998b7ae-b66e-4ed6-be4a-ebf3e7da6611,postnummer
212659142,61772084,16848899643,4569839,61772094,fd26e75f-f075-4cad-b833-43e94fa9cbd3,8a2c5cfa-ca10-4706-a261-3feaac13f9a2,kjøttdeig
212660272,61772119,11874996256,4560460,61772123,af3a355a-bebb-43af-be60-ab476c4ed3f8,6e1c22d4-bb7c-4af6-9a54-9ce6414c3141,naturressurs
212660442,61772120,30908499928,4547282,61772132,6eb4ccf5-ab52-4534-bc2a-3b040307ec92,adad05c0-97c1-43a6-99e7-e6283b1aac89,base
212661562,61772155,28922548589,4539204,61772164,84bfe224-0e05-4403-87d5-a6f688558fed,08dfa782-525d-4a6e-b916-82fe1db8d3a8,porto
212662682,61772190,12843349577,4530711,61772201,027edb2f-a09f-4adc-a701-b17bed6ccb5e,422771b9-8372-4950-a365-2db2d21f0c03,fille
212665002,61772277,06886497782,4557142,61772283,3bc2738c-9d09-45c4-9687-a48cd89d169f,96592c26-f738-4fc9-9b73-68c5510e2507,aktor
212665592,61772297,16905499320,4565115,61728165,e5b1e746-8d5e-44fc-a837-1cd8a0f199c2,433cd1b3-9798-4770-af93-88cb4071eddf,matboks
212666572,61772315,07859199512,4549840,61772320,fbfa5f45-5a0e-4a04-bc4f-95bde1d7da86,6d54d534-f61c-401c-83ac-39e64b655c3e,frekvens
212666602,61772314,15846599948,4538645,61704507,d8b77650-1456-430b-a4b4-cd2605c484e2,3c6d7351-ea1b-4ffa-98ad-e7810ddd6a1e,bytte
212668052,61772347,20817597980,4542202,61772354,93920380-012a-49e2-a955-2acbc85678df,c4e841aa-7d75-4be0-afa2-3844aa8e5546,mamma
212668222,61772357,18917396953,4554018,61772367,498955fa-3157-421e-b8c2-2046dcbbbb8d,1511854e-e2e8-40d1-8426-5e26e1f9d3df,ostehøvel
212668362,61772358,06839899791,4518820,61772369,719aea31-efc6-4f53-a155-e503692ad968,8db172ac-c189-4e3a-b0e1-5b2e6ebe7cfb,orientering
212668982,61772375,02909499316,4569568,61772393,9195c9b1-5130-4862-8fec-dbacf074f94b,9885e999-646c-46a2-9f26-788573cb6df0,klemme
212671312,61772466,12919499972,4503875,61772475,7a340e13-bc32-416b-9302-80c42f65f0a5,7b0f75bf-fd9b-44ab-a00c-6d6e2813d386,havhest
212671592,61772468,13898097980,4560119,61772478,850e6e2a-01b0-4e25-af66-3b0ee83f2911,55165660-a77b-4a4e-85cc-91d28d389f58,grammatikk
212671622,61772474,04826898874,4506160,61772479,9d1003bb-df41-47af-ba5c-c8fd0ea1b6cc,a6a7bfa2-d7d2-402a-8586-459b9cf88e74,biograf
212673102,61772529,02885497546,4506002,61772534,68ce2715-8c8c-4f0d-85d4-59e5bb8fbfee,0f3f34e9-779d-442e-9a09-174a813dfe37,holmgang
