orgNo,partyId,ssn,userId,userPartyId,orgUuid,partyUuid,lastName
310065005,61862906,05870299682,4564422,61862916,5417be6d-8350-492c-80bc-432af0a2e6b5,cc2a69db-5966-4f54-8366-17fdd4177eaa,naturressurs
310065048,61862924,21877396034,4559172,61862929,5bffde20-e80f-44e1-a8cd-9ca37d575c11,933926e5-de26-4d63-8152-7e8d397647e1,ferd
310065072,61862927,08846996991,4558552,61862937,629f1940-0f58-4c07-a4ab-2e4a6d413439,970b8f9d-7f81-456e-9050-2a9687abb305,nattkrem
310065129,61862948,19816699854,4543134,61862952,d2806464-5a20-4897-959d-d9ff159aa432,ea3047a7-ab1b-4cdf-9d5f-938d8a4cbd50,diameter
310065250,61741350,11847399807,4561416,61862980,61b59a4b-910e-466d-8609-e2b9fc15bdb9,a6cf74da-f927-401f-8eb3-24faf68d51e6,pære
310065293,61862982,22833849976,4503864,61862992,09da7c26-9656-400b-93b7-2df4b7ca9ca0,f5ed2a99-6933-4957-9949-7e52bcce1d56,appetitt
310065315,61862989,31816997502,4559373,61862998,fb2cb174-11a8-4dca-b858-1b4eb51867ae,0bc764af-b906-412c-af0f-f3e583dfeed4,husbåt
310065331,61862994,21915999996,4551136,61863000,9273aa3b-f2f7-4f8b-a617-ddbdc66df692,2f5ed1c7-7af8-44d2-abf8-836aa511d4ca,pode
310065463,61863024,21884498314,4567382,61863028,01ca7860-ec6d-47d6-a8e8-b545ec1ee075,42c078d4-5c08-4125-b938-230d5bfa1eda,dagkrem
310065498,61829534,05817999141,4506354,61863035,3999e57f-6322-48c3-9663-cd95fbfc5efc,fe56f743-d9c2-4022-a1f1-5da53469439d,kollisjon
310065528,61863036,20888298860,4549725,61863038,23460723-85f7-4364-a837-8462af7a9931,4fcf4487-ba57-4e41-84d5-0361224f63a6,kakaobønne
310065536,61747987,29888199827,4562774,61863043,a6b06e64-142c-4dfd-ad27-c3634e409982,1e0a2a21-7a57-4930-9ead-9839025ee663,konge
310065544,61863040,18853048735,4539345,61863045,06b5854e-711c-4027-9dca-5ac5da205ada,58f72d4c-f0da-4a14-855b-bf6f6f7908c9,bane
310065730,61863103,05907199586,4517936,61863107,e200fb0f-9767-42ed-be2f-ef701422e6ca,f319c21b-5695-4480-8c76-5a6d83d9b0c0,drosje
310065870,61863132,27855698914,4556760,61863143,6021b5ad-6660-4bf8-acf3-df757ca31487,1fe04fd9-3bdd-4ace-820e-128facbef82a,handelsmann
310065927,61863150,18844199178,4556759,61863157,e3f9cd9f-9cea-46f3-9b6b-db6e3d35e8bb,53c9af37-a075-4590-89b0-cbf8fee75398,krabbe
310066028,61863180,03880099581,4570208,61863183,26e38531-e8e7-46a3-ae3e-885c7b297929,74cf6bfe-0c2c-4924-a72d-e4732cdf9883,poesi
310066117,61863206,22814597117,4554732,61863211,21d9fdf4-dabf-49c7-be72-4c0499d6f4e5,04f1fda7-ad03-4745-b73b-dbbe2286e1b1,klosett
310066486,61863289,03886998715,4538926,61863296,79ddd6e2-3a1a-483f-b950-393d737cc52c,0666dfc9-4773-4ca2-9a53-622c48dcd198,purre
310066540,61863318,03888898750,4561754,61863322,34f832b2-43e8-47a0-a95c-1a98e31f71ad,d3bfdfe0-6154-4c33-a63a-0276d5f98b8a,myrsnipe
310066621,61863342,07858499113,4566193,61863346,0b1fc3a3-3161-494a-bcd6-6f7e9d0457aa,722b4dff-9a07-4470-bd9d-368a24dc46c7,bønne
310066664,61863350,29905499147,4545015,61863355,4ca506fa-1969-4fb6-aa3b-5b4ccd2d86af,d82cf7bb-2f18-4665-92b9-1126b806cefc,omtale
310066680,61863356,05866898954,4540469,61863361,58797b53-704d-48b0-838c-3f2ea6b3fd59,8b4b8d25-ff55-46e3-a6fa-b1cd73b53a04,filter
310066699,61863357,05897198411,4545016,61863364,5d90770b-f50b-4e46-945f-ae13f75be6eb,eba813ce-d51b-4f25-8ec7-421c63b1c172,lagsport
310066710,61863360,21926996948,4542763,61863366,69a17ef2-083c-4d32-9da5-e02b5c5682a6,d637fa83-6256-4f14-9f0a-c9afacaa40b5,fabrikkpipe
310066850,61863390,17905195980,4536962,61765385,1b3c1722-d017-4951-92cf-bc0ee4d9ca79,78f22958-16da-4828-a286-b94039cac7bd,kikkert
310066931,61863405,26926996761,4542059,61863410,73289476-0b18-4c0b-bfe3-15037177e06f,7b3bac5d-92db-4edf-a845-716f80a9e1e4,hymne
310066958,61863406,04877099518,4515425,61863411,574f238d-273e-4d1e-a1f9-bf7baa35a0df,e4354b74-7fba-4165-afdd-d56bc525f17b,klaustrofobi
310067180,61863471,24906597361,4558513,61863475,fac2b034-242f-4992-832a-93c2fc064c4d,b76db1c6-e528-4650-98e6-6fc2e61dbb59,papegøye
310067342,61863507,09926797740,4555065,61863510,696d9877-3c7e-4cdf-b756-8a22350bdef8,8f62f29b-c553-45d1-93ee-151535b93fed,matpakke
310067393,61863517,26916599179,4570789,61863523,5def84c3-5fa0-4dd1-855d-d2be9e6f1d3f,31d80a33-7ab0-4355-be58-356b9faa854a,vott
310067407,61863521,08835499511,4505956,61863525,a3ec530e-f54e-4b29-9514-5662c45dff2c,ba10be2b-337e-43c5-9a1f-21fbe7fc0c26,konsonant
310067458,61863530,28812649517,4546651,61863540,288fefe5-dc75-4ad9-86c5-ffb128ff419d,b2e61ed8-c15b-43c4-a122-aaf047575559,budeie
310067474,61863535,19905297980,4569287,61863538,cd905397-3a08-4717-809f-4e5bd1411ea4,57f9b007-2e4f-4bbe-95b0-7dedbfd0ba89,møll
310067490,61863541,05886299208,4503405,61863546,73062513-d2eb-4d97-a9b0-b3a461d1712c,990561e0-a720-45d5-a467-751137f1eba9,pris
310067547,61863558,03823448197,4562558,61863564,5ab02a9a-fae8-4aa7-83c4-ef98ef7a5fbc,d04e4f99-5d2e-44a3-bf4f-f7af8e2d57d0,hette
310067598,61863572,14885299726,4535242,61863578,49099c9d-1ff0-474c-a97c-c600c8538272,27cc9d70-b320-4aaa-ad90-b621a6dca669,lerketre
310067601,61863582,19817498119,4544436,61863585,adffd86c-3a57-4e74-bef0-13ba8356c9e5,656e734a-b9d4-4047-bcb6-fd9997ed9bf2,panne
310067628,61863583,03836699334,4512801,61863589,14caf96e-8d46-4c43-aeb1-9b01b178cc63,2c18668b-7f5c-4b4b-afe2-d6c512cf7c9a,journalist
310067806,61863636,29889498933,4502255,61863638,2c5dec7f-6edc-4919-9972-fafdb6ae52db,d71241e6-ae69-4a55-ad1e-482a6015d97e,servitrise
310067997,61863678,25859297768,4503314,61863692,4753cf91-0f5e-48f9-9ac4-a79d814e7936,f0c268a2-b8e9-429d-a056-a39aa98c5baa,blindveg
310068055,61863702,03886797728,4546318,61863706,9d383149-5787-4b12-b648-a654360ac320,ce59f26f-b263-4f44-b826-d0312329bf72,fruktbutikk
310068071,61863704,29857497366,4558936,61787340,dc81a989-0122-48ad-9554-18f237fd27ee,495abb03-cd56-4d12-869a-5f54fc933708,jekk
310068160,61863740,12866798573,4531125,61863744,0f261636-acce-4aba-9d5f-81fba12ece13,f0bbb649-d552-4a5f-a304-82617b6b52e3,innhegning
310068187,61863742,27866999193,4559493,61863752,95739bce-7755-4259-afd0-e6c7b07548ba,34987416-4c27-45f7-880b-a8e8bd829d92,finale
310068195,61863743,29835999406,4503957,61863750,a3ef57ab-f000-4b7a-be4f-32d86501fd7b,37ea81ac-9d18-47c1-b6fe-96595b34f906,flyttelass
310068276,61863764,06819199947,4557812,61863767,ed4d9b66-343a-4068-9ce6-ee86dbac5e50,2195577c-f050-4d8c-b621-f55cbcb95c1c,sentrum
310068314,61863771,26865897528,4549095,61863778,5f8fc9a5-0476-40da-abb5-5606b07fb782,8e857638-2f49-441d-bb32-8a248180dd77,jaguar
310068446,61863794,28887997391,4566592,61863799,2051cc40-440d-4498-8899-18784cfa41b9,97176b4e-9ef7-4ee1-a44a-c282ea3e97f4,campingvogn
310068578,61863831,18877397072,4504052,61733572,1aabdb1d-0e45-40f1-8c14-f86cca164c11,bef7ac45-6786-4500-9990-e38b7def0036,unnselig
310068608,61863841,05907499881,4543242,61863850,fc08f282-5d8c-49a1-9582-f5571bffdcab,ad7f8389-24dd-43f6-b62a-7b63d75c77ea,kyst
310068624,61863847,23925596590,4502005,61863852,5a2ccf85-1fe9-4f05-b26d-e4fbb5ac75af,a69e18b9-b322-42fc-a1a2-8fdd366eb842,barnestol
310068640,61863855,08906996708,4550544,61863860,7fac5fb6-59a5-4396-afa8-7de4813a8555,c1f26f68-7131-4783-b295-627e4fdbec0e,sum
310068683,61863859,11837499919,4528696,61863871,ccacd02a-3a55-4d43-aa48-5482fb94f9d4,31e7ec47-dee0-4227-9485-b6beab12798c,andrik
