tossn,fromssn,partyid
20887799459,14022216091,56850289
08848499758,14022216091,56850289
29858398086,23858098432,61975908
30818099815,08848499758,62302806
23858098432,31928499513,62471687
23858098432,20887799459,62687856
07917695940,20887799459,62687856
08848499758,20887799459,62687856
23858098432,08848499758,62302806
30818099815,07917695940,61993517
31928499513,14022216091,56850289
07898098235,07917695940,61993517
29848496772,03823249100,63470933
29858398086,31928499513,62471687
30818099815,23858098432,61975908
03823249100,23858098432,61975908
31928499513,08848499758,62302806
07898098235,03823249100,63470933
09928596890,29858398086,61759927
13816399887,07898098235,61779846
26856395218,09928596890,62652519
17897897199,01907397218,61938535
29848496772,30818099815,62545971
29858398086,30818099815,62545971
07898098235,29858398086,61759927
03823249100,07917695940,61993517
26856395218,29848496772,61977220
09928596890,29848496772,61977220
16868496774,26856395218,63470934
09928596890,07898098235,61779846
31928499513,20887799459,62687856
07917695940,23858098432,61975908
01907397218,07898098235,61779846
13816399887,03823249100,63470933
03823249100,29858398086,61759927
26856395218,01907397218,61938535
13887499947,05927798788,61856132
07917695940,08848499758,62302806
30818099815,31928499513,62471687
05927798788,13816399887,62402121
09829699343,13897197620,62343090
05927798788,26856395218,63470934
29848496772,29858398086,61759927
29858398086,07917695940,61993517
03877897515,16868496774,62515677
03823249100,30818099815,62545971
01907397218,29848496772,61977220
01907397218,13816399887,62402121
13887499947,17897897199,62305790
24908398684,03877897515,62388112
05927798788,17897897199,62305790
09928596890,03823249100,63470933
19040041160,06867997391,62416460
13897197620,26856395218,63470934
24030317587,19897497789,61790433
17897897199,13816399887,62402121
03877897515,13887499947,61812072
01907397218,09928596890,62652519
13816399887,29848496772,61977220
25032679199,24897396102,62454767
13897197620,17897897199,62305790
13897197620,16868496774,62515677
05927798788,01907397218,61938535
03877897515,09829699343,62661174
06867997391,13887499947,61812072
09829699343,16868496774,62515677
26856395218,13816399887,62402121
20877998011,24030317587,51600819
24908398684,06867997391,62416460
16868496774,01907397218,61938535
17897897199,09928596890,62652519
13816399887,09928596890,62652519
19897497789,13887499947,61812072
24030317587,24908398684,61899286
03890698440,05102047372,51799419
06867997391,09829699343,62661174
02877898884,31928599968,62596179
19897497789,13897197620,62343090
29848496772,07898098235,61779846
24030317587,19040041160,51239278
13897197620,05927798788,61856132
19040041160,19897497789,61790433
03877897515,13897197620,62343090
24897396102,24908398684,61899286
06867997391,19897497789,61790433
16868496774,05927798788,61856132
05102047372,24908398684,61899286
19897497789,09829699343,62661174
13887499947,16868496774,62515677
20877998011,24897396102,62454767
09829699343,05927798788,61856132
31927996270,06867798305,61902050
17897897199,26856395218,63470934
05102047372,06867997391,62416460
24908398684,09829699343,62661174
03847797362,09862499708,63470943
03890698440,20877998011,62685150
26878497871,03890698440,61814315
31928599968,25032679199,59444338
03890698440,25032679199,59444338
24908398684,19897497789,61790433
26878497871,31928599968,62596179
06867997391,03877897515,62388112
31928599968,20877998011,62685150
15838499055,31927996270,62693967
23898099105,03890699900,61910514
24897396102,05102047372,51799419
19897497789,03877897515,62388112
19040041160,03877897515,62388112
05102047372,19040041160,51239278
25032679199,05102047372,51799419
06867798305,20877998011,62685150
06867798305,24897396102,62454767
09829699343,13887499947,61812072
20877998011,19040041160,51239278
09862499708,02877898884,62617232
15838499055,09862499708,63470943
31927996270,02877898884,62617232
20877998011,05102047372,51799419
11848398294,03887297338,62510960
23898099105,15838499055,62248395
24897396102,24030317587,51600819
08051114400,18867997179,62391151
11848398294,03887798116,62473418
09862499708,26878497871,61789514
24030317587,06867997391,62416460
31928599968,06867798305,61902050
03887798116,23898099105,62401918
06867798305,25032679199,59444338
19040041160,24908398684,61899286
02877898884,06867798305,61902050
25032679199,24030317587,51600819
08888997297,11848398294,62542184
23898099105,03847797362,62487945
30888397716,01091823884,56258008
08051114400,08888997297,63470937
