ssn,avgivere
31850148921,person:28929397330 org:312899140 person:07886597570 org:312285851 org:313371506 org:312574233 org:313367568 person:06859899186 org:211693282 org:310390054 org:311714899 org:210935142 org:312689510 person:07926097150 person:07818698059 org:312570580 person:18836796930 person:26847099487 org:314044940 person:31905898739 person:06926297153 org:310764167 org:312971887 person:17865198949 org:210356592 person:18877196670 person:22837099793 org:312737426 org:313533425 org:212254932 org:311046217 org:312913852 org:313790797 org:310972053 org:313062368 org:210148582 org:310339865 org:212489182 person:03873848544 org:310267961 org:311040391 org:311006886 org:213845942 org:313942023 org:312167913 org:310782793 org:313255808 org:311067729 org:313214168 org:210191402 person:12928598576 person:20816697116 org:313195074 person:24896698733 org:312178656 person:15837398646 org:314069285 person:10819999517 org:310319422 org:313065278 person:24857999386 person:08867395777 org:314235576 org:310192864 org:213676032 person:14819496340 org:310430331 org:313061558 org:313707946 org:312566699 org:310617164 org:310857424 org:313511022 org:213377272 org:313570622 org:212537152 org:313463850 org:310834858 org:314101790 org:313893138 org:313802000 org:313287815 person:07817097140 org:310245682 org:312496593 org:314163958 org:310203599 org:310164410 org:310085758 org:312502593 org:313009041 org:313420043 org:313465276 person:20898697798 person:13926898935 org:313548562 org:311741772 org:310588970 person:27878696625 person:12919999029
02926296151,org:310139017 org:312512432 org:314159411 person:25929498995 person:09926899500 org:312226162 org:313759423 org:310938661 org:313335186 org:213060732 org:312204509 org:312591421 org:312215381 person:26892649579 org:211018712 org:310677094 org:312893509 org:313143244 org:311012975 person:10890297728 org:313344320 org:311800167 org:313299872 person:21818199551 org:313022455 org:311732595 org:311774506 org:311764896 org:311730525 person:15868696505 person:18856198592 org:311723286 person:24893948526 person:18876597914 org:313013383 org:314058216 person:15924199986 org:312522985 org:213692402 org:311790722 org:310085154 org:212627992 org:213057642 person:04818398927 person:16837496695 org:313991792 org:312897083 person:06867096106 person:23849599410 person:08825999354 person:29916097342 org:314238826 org:312230720 org:310526517 org:311009451 org:312178478 org:310871419 org:311741578 org:314006402 person:17817398987 org:313697436 org:312719673 org:313649709 org:310958085 org:310312371 person:11897197148 org:310831360 person:03863949016 org:310585416 org:313511235 org:313470954 org:312776111 org:311760335 org:310563072 org:312474344 org:312888157 org:312780429 person:17866698457 org:310659401 org:312489546 person:23812848941 person:04877297891 org:310888885 person:05908496924 person:23817096514 person:12844997947 org:313441342 person:03828197990 org:313788466 org:312940604 person:27837695096 org:310178462 org:310909068 org:310759651 org:310588377 org:314121775 org:310063118 org:313681092 person:29909499907 org:313774074
08845899909,org:310139017 org:312512432 org:314159411 person:09926899500 org:310938661 org:313335186 org:213060732 org:312204509 org:312591421 org:312215381 person:26892649579 org:211018712 org:313143244 person:10890297728 org:313344320 org:313299872 person:21818199551 org:313022455 org:311730525 person:24893948526 person:18876597914 org:313013383 org:314058216 org:213692402 org:311790722 org:310085154 org:213057642 person:04818398927 org:313991792 person:06867096106 person:23849599410 person:29916097342 org:314238826 org:311009451 org:311741578 org:314006402 person:17817398987 org:313697436 org:312719673 person:11897197148 person:03863949016 org:310585416 org:313470954 org:312776111 org:311760335 org:310563072 org:312474344 org:312888157 org:312780429 person:17866698457 person:23812848941 person:05908496924 person:23817096514 org:313441342 person:03828197990 org:313788466 person:27837695096 org:310178462 org:310909068 org:310588377 org:310063118 person:29909499907 org:313727378 org:313436322 org:313065723 org:310187704 org:311724916 org:312614146 org:310337889 person:26848799784 person:09837398379 org:311194577 org:312942534 org:310461016 org:310422746 person:29885699918 org:313922987 org:312472678 org:310979635 org:312622939 person:18838199352 org:314286693 org:310241458 org:313691004 org:210290982 org:313271900 org:313377873 org:312654814 org:313874621 person:09839398082 org:312847183 org:312573806 org:314182057 org:313567788 org:310074977 org:313417700 person:23889998741 org:312899515 org:310584061 org:312883864
14856694942,org:312814234 org:310049964 org:310505293 org:312484749 org:310556963 org:212516252 org:312573342 org:313961885 org:310038679 org:313183572 person:14856694942
17856197921,org:313938360 org:310898929 person:16853048929 org:313554961 person:29918798704 org:310527637 person:09897997107 org:312491729 org:312588935 org:310662739 person:28837996971 org:310838454 org:313113183 org:310110086 person:27906299912 org:312665522 org:312489546 person:01917698569 org:312424371 org:311709836 org:312564955 org:311765396 org:312680459 person:28858094749 org:310803669 org:312458470 org:311017608 org:313008266 person:06863949457 org:313600416 org:310851973 org:313890562 person:28819297039 person:28845395510 org:313090248 org:313375250 org:312764911 org:312899515 org:312806436 org:312501740 person:12872748960 org:313570118 person:11865699117 org:313036634 person:27819398319 org:312797623 org:313249948 org:314138465 org:310557056 org:313514498 org:313160564 org:312615215 person:02897599352 person:04847799736 org:212823562 org:313059561 person:19908698722 org:310708658 org:313933091 person:02907996983 org:311048473 org:312685027 person:13815599548 person:16885899548 person:23866196214 person:24845399405 org:313154297 org:311776096 org:313610853 org:310058726 org:213810502 org:310436127 person:16816299954 org:310685909 person:16846898127 org:313010899 org:310016403 org:310339229 org:313047520 person:11900097753 org:313144097 person:11814795995 person:27839598926 org:310731374 org:213450972 person:21815898114 person:23896297937 org:310575577 person:28846298756 person:21887198699 person:16899599164 org:313913724 org:314093119 org:313682501 org:313094480 org:313745376 org:313867625 org:310370851 org:213558862 org:314220447
27836297429,org:310173290 org:212537012 org:310114189 org:310660965 org:213618172 org:312529343 org:310729639 person:27836297429
19855498718,org:311034235 org:313850471 org:313557642 org:311002627 org:313191346 org:212547662 person:19855498718
09906899954,org:210607242 org:313994244 org:312757370 person:11825299426 org:312868997 org:312501929 org:214247542 org:310505382 org:311179950 org:313227189 org:313886077 org:312875691 org:310298115 org:312836076 org:313079228 org:313937739 org:310633496 org:313977129 org:313702960 org:311141244 org:314084896 org:313864499 org:312555697 org:312648237 org:312910810 org:311062832 org:310285900 org:313605345 org:311087452 org:314046005 org:314255267 org:310292192 org:314063112 org:311823280 org:212573892 org:314278836 org:310711497 org:313555739 org:313939758 org:310680672 org:314142780 org:312540215 org:311047205 org:312866056 org:312405172 org:311720686 person:01906997467 org:310834920 org:314207459 org:311078402 org:314266633 org:311020250 org:310783943 person:11924898315 org:312410915 org:311142232 org:312696967 org:310336955 org:214266032 org:310301876 org:313664880 org:313210057 org:313792897 org:313821722 org:313628450 org:313359220 org:310474576 org:211733462 org:312225360 org:313117111 org:310817422 org:312595443 org:312901714 org:213650092 org:314271815 org:313269779 org:310660914 org:314257677 org:313514773 org:313317161 org:313553280 org:313919668 org:312473178 org:313295060 org:310286680 org:313429733 org:313715159 org:314266625 org:311081772 org:314284259 org:313840379 org:312540835 org:310530883 org:213746472 org:310362646 org:314278097 org:312697599 org:310777293 org:312573997 org:312431815
21918297933,org:210607242 org:312757370 person:11825299426 org:312868997 org:312501929 org:214247542 org:310505382 org:311179950 org:313227189 org:313886077 org:312875691 org:310298115 org:312836076 org:313079228 org:313937739 org:310633496 org:313977129 org:313702960 org:311141244 org:314084896 org:313864499 org:312555697 org:312648237 org:312910810 org:311062832 org:310285900 org:313605345 org:311087452 org:314046005 org:314255267 org:310292192 org:314063112 org:311823280 org:212573892 org:314278836 org:310711497 org:313555739 org:313939758 org:310680672 org:314142780 org:312540215 org:311047205 org:312866056 org:312405172 org:311720686 person:01906997467 org:310834920 org:314207459 org:311078402 org:314266633 org:311020250 org:310783943 person:11924898315 org:312410915 org:311142232 org:312696967 org:310336955 org:214266032 org:310301876 org:313664880 org:313210057 org:313792897 org:313821722 org:313628450 org:313359220 org:310474576 org:211733462 org:312225360 org:313117111 org:310817422 org:312595443 org:312901714 org:213650092 org:314271815 org:313269779 org:310660914 org:314257677 org:313514773 org:313317161 org:313553280 org:313919668 org:312473178 org:313295060 org:310286680 org:313429733 org:313715159 org:314266625 org:311081772 org:314284259 org:313840379 org:312540835 org:310530883 org:213746472 org:310362646 org:314278097 org:312697599 org:310777293 org:312573997 org:312431815 org:312793245
08885795774,org:310449571 org:312550210 org:314116518 org:310524050 org:313782867 org:214252872 org:312976382 org:310721255 org:313832309 org:312514516 org:314254325 org:313506223 org:314283902 org:310517615 org:210714502 org:313535738 org:310601381 org:310772526 org:312749467 org:211087382 org:311085271 org:312950642 org:313333701 org:313276031 org:312669978 org:311709054 org:310310808 org:313583430 org:210682872 org:313473988 org:310861774 org:310730270 org:314063295 org:311755188 org:314090780 org:310157643 org:313851230 org:310605735 org:313216780 org:313758591 org:314042042 org:313127168 org:311741497 org:314253663 org:311796275 org:213914642 org:310898449 org:310431265 org:311143905 org:213850172 org:314187733 org:310079766 org:312664976 org:314263553 org:311162802 org:312929295 org:314151275 org:313753484 org:311183311 org:310242039 org:213669222 org:312467372 org:312432978 org:314116941 org:311766821 org:314187806 org:313827828 org:314241681 org:314241800 org:311167952 org:313819116 org:310960748 org:313648109 org:311724193 org:313511669 org:313194442 org:314267753 org:313351718 org:314251482 org:313648516 org:313764303 org:314023560 org:311754718 org:214129272 org:314243943 org:311815245 org:313712095 org:310899569 org:310774871 org:314249801 org:311768174 org:212275182 person:26875596933 org:314103955 org:312393638 org:313167364 org:210834672 org:313376311 org:313880885 org:313415511
