ssn,avgivere
03020154801,org:719679234 org:708607266 org:731369542 org:733357932 org:734101966 org:734101915 org:719380247 org:733013370 org:711276513 org:719297358 org:703449794 org:725992025 org:711276114 org:624917774 org:728752130 org:723175607 org:726857202 org:622259591 org:725872828 org:702802709 org:707602678 org:734144460 org:624626095 org:701835360 org:733333340 org:725707975 org:723217377 org:716089878 org:721174638 org:700425029 org:714242733 org:723142261 org:718191122 org:701894898 org:708947377 org:733616059 org:718971551 org:733710608 org:719312020 org:701515935 org:625186609 org:634120475 org:725988753 org:702221234 org:717451694 org:718101522 org:732717374 org:714251759 org:720407086 org:718002257 org:612043604 org:720125676 org:733333332 org:718831342 org:731471703 org:733616083 org:733391103 org:734159735 org:726024367 org:732916660 org:726234876 org:724479464 org:726958351 org:733616032 org:722252675 org:733710543 org:728704993 org:726347727 org:723737702 org:730011032 org:733333359 org:726559007 org:725794339 org:700675971 org:624804910 org:732932550 org:711160256 org:710604800 org:709977008 org:719133894 org:733179597 org:732932542 org:715885700 org:732659420 org:012188978 org:718336678 org:725872844 org:723175593 org:700856828 org:711160248 org:718472431 org:720555972 org:703488978 org:709732064 org:708950319 org:704769350 org:723213290 org:723183812 org:623173429 org:701257642 
31850148921,org:312899140 org:313773078 org:310322687 person:11899599936 org:313463850 org:210356592 org:312971887 org:310339865 org:314101790 org:313065278 org:313465276 org:312496593 person:12928598576 person:06824898977 org:310617164 org:313893138 org:311741772 org:310245682 org:210191402 org:314163958 org:312285851 org:312282313 person:22879498051 org:313367568 org:310494968 org:313214168 org:213845942 org:310085758 org:310170992 person:06859899186 person:07886597570 person:22818099227 org:313177920 org:213676032 org:313371506 person:26906297972 org:310288039 person:22837099793 person:25840098748 org:310197971 person:20816697116 org:311046217 org:313214354 org:313526186 org:310131873 org:313511022 org:213111272 org:210376992 org:313279774 org:212537152 org:310084069 person:14922549193 org:313707946 org:313802000 org:210935142 org:314044940 person:13926298687 person:18836796930 org:312544032 org:310921947 org:313679497 org:313177335 person:13926898935 org:310972053 person:25904996796 org:313533425 org:313870928 org:313195074 person:14886299169 org:313942023 person:24857999386 org:212489182 org:210148582 org:312167913 person:17853049328 org:310203599 org:312570580 org:310319422 org:310834858 org:313062368 person:07817097140 person:26847099487 org:312566699 org:314235576 org:310164INFO[0001] 31850148921 org:312899140 org:313773078 org:310322687 person:11899599936 org:313463850 org:210356592 org:312971887 org:310339865 org:314101790 org:313065278 org:313465276 org:312496593 person:12928598576 person:06824898977 org:310617164 org:313893138 org:311741772 org:310245682 org:210191402 org:314163958 org:312285851 org:312282313 person:22879498051 org:313367568 org:310494968 org:313214168 org:213845942 org:310085758 org:310170992 person:06859899186 person:07886597570 person:22818099227 org:313177920 org:213676032 org:313371506 person:26906297972 org:310288039 person:22837099793 person:25840098748 org:310197971 person:20816697116 org:311046217 org:313214354 org:313526186 org:310131873 org:313511022 org:213111272 org:210376992 org:313279774 org:212537152 org:310084069 person:14922549193 org:313707946 org:313802000 org:210935142 org:314044940 person:13926298687 person:18836796930 org:312544032 org:310921947 org:313679497 org:313177335 person:13926898935 org:310972053 person:25904996796 org:313533425 org:313870928 org:313195074 person:14886299169 org:313942023 person:24857999386 org:212489182 org:210148582 org:312167913 person:17853049328 org:310203599 org:312570580 org:310319422 org:310834858 org:313062368 person:07817097140 person:26847099487 org:312566699 org:314235576 org:310164410 person:30845098936 org:313570622 org:212254932 org:311047078 org:312808560 org:313548562 org:310267961 person:03873848544 org:312502593 person:27878696625 person:31905898739 person:15827897342 org:313009041 org:310764167 org:311006886
02926296151,person:16868496774 person:02827298142 person:18887296924 person:18838199352 person:14827498557 person:31907199129 person:17918796592 person:05891349507 person:06814697809 person:15897195779 person:03828197990 org:210049312 org:210103902 org:210169202 org:210194142 org:210257012 org:210290982 org:210346902 org:210401822 org:210468862 org:210469532 org:210545212 org:210951822 org:211018712 org:211110082 org:313685462 org:310731927 org:310115681 org:310992992 org:214055872 org:310869430 org:312150166 org:313257061 org:310045632 org:310526517 org:211685522 org:211788542 org:314282264 org:313335186 org:212181552 org:212235032 org:212235172 org:212246352 org:212254142 org:212269832 org:212271012 org:310964646 org:313693635 org:212438642 org:212456292 org:212502812 org:212525022 org:212534382 org:212576972 org:212627992 org:212718262 org:212826782 org:212846872 org:212898562 org:213057642 org:213060732 org:213108182 org:213203002 org:213320602 org:213385232 org:213412442 org:213456792 org:213464272 org:213572342 org:213692402 org:213727532 org:213742582 org:213841742 org:213840312 org:213865692 org:213872702 org:213947532 org:213949772 org:214117452 org:311130706 org:313616533 org:310718270 org:312230720 org:313099504 org:311723286 org:310001961 org:310006181 org:310005991 org:310016403 org:310018740 org:310018546 org:310038962 org:310041157 org:310040673 org:310049158 org:310050946 org:310063118 org:310064564 org:310065897 org:310067407
31850148921,org:312899140 org:313773078 org:310322687 person:11899599936 org:313463850 org:210356592 org:312971887 org:310339865 org:314101790 org:313065278 org:313465276 org:312496593 person:12928598576 person:06824898977 org:310617164 org:313893138 org:311741772 org:310245682 org:210191402 org:314163958 org:312285851 org:312282313 person:22879498051 org:313367568 org:310494968 org:313214168 org:213845942 org:310085758 org:310170992 person:06859899186 person:07886597570 person:22818099227 org:313177920 org:213676032 org:313371506 person:26906297972 org:310288039 person:22837099793 person:25840098748 org:310197971 person:20816697116 org:311046217 org:313214354 org:313526186 org:310131873 org:313511022 org:213111272 org:210376992 org:313279774 org:212537152 org:310084069 person:14922549193 org:313707946 org:313802000 org:210935142 org:314044940 person:13926298687 person:18836796930 org:312544032 org:310921947 org:313679497 org:313177335 person:13926898935 org:310972053 person:25904996796 org:313533425 org:313870928 org:313195074 person:14886299169 org:313942023 person:24857999386 org:212489182 org:210148582 org:312167913 person:17853049328 org:310203599 org:312570580 org:310319422 org:310834858 org:313062368 person:07817097140 person:26847099487 org:312566699 org:314235576 org:310164410 person:30845098936 org:313570622 org:212254932 org:311047078 org:312808560 org:313548562 org:310267961 person:03873848544 org:312502593 person:27878696625 person:31905898739 person:15827897342 org:313009041 org:310764167 org:311006886 
02926296151,person:16868496774 person:02827298142 person:18887296924 person:18838199352 person:14827498557 person:31907199129 person:17918796592 person:05891349507 person:06814697809 person:15897195779 person:03828197990 org:210049312 org:210103902 org:210169202 org:210194142 org:210257012 org:210290982 org:210346902 org:210401822 org:210468862 org:210469532 org:210545212 org:210951822 org:211018712 org:211110082 org:313685462 org:310731927 org:310115681 org:310992992 org:214055872 org:310869430 org:312150166 org:313257061 org:310045632 org:310526517 org:211685522 org:211788542 org:314282264 org:313335186 org:212181552 org:212235032 org:212235172 org:212246352 org:212254142 org:212269832 org:212271012 org:310964646 org:313693635 org:212438642 org:212456292 org:212502812 org:212525022 org:212534382 org:212576972 org:212627992 org:212718262 org:212826782 org:212846872 org:212898562 org:213057642 org:213060732 org:213108182 org:213203002 org:213320602 org:213385232 org:213412442 org:213456792 org:213464272 org:213572342 org:213692402 org:213727532 org:213742582 org:213841742 org:213840312 org:213865692 org:213872702 org:213947532 org:213949772 org:214117452 org:311130706 org:313616533 org:310718270 org:312230720 org:313099504 org:311723286 org:310001961 org:310006181 org:310005991 org:310016403 org:310018740 org:310018546 org:310038962 org:310041157 org:310040673 org:310049158 org:310050946 org:310063118 org:310064564 org:310065897 org:310067407 
08845899909,person:17924299703 org:312474344 org:314081587 person:10883749613 person:17927199858 org:312883864 org:312846144 person:31907199129 person:23873149949 org:313335186 org:313542602 org:312870320 org:312277662 org:312796546 org:313143244 person:05891349507 person:31889598509 org:310823651 org:313375293 org:311741578 org:313150445 org:210346902 org:310644722 org:314135733 org:313523438 org:312952785 org:313987094 org:313344320 org:212269832 org:312498510 org:313327612 org:310782653 org:313972089 org:313892255 org:310964646 org:313163202 org:310259543 person:16878097584 person:24865298338 org:313271900 org:212438642 org:313902277 person:26828297618 person:04818398927 org:313626490 org:310281433 org:312554437 org:312879425 org:212502812 person:09837398379 org:313023354 org:314007247 org:213464272 org:313810208 org:313013383 org:313562441 org:311761323 org:310592110 org:310223956 org:311036033 org:313436322 org:310422746 person:06814697809 person:24897698095 person:22919696919 org:310863777 person:26834999128 org:310308668 org:313103501 org:314282264 org:312614146 org:313022455 org:312513579 org:313310876 org:311760335 person:25846098707 org:310545953 org:314241789 org:313065723 org:310410128 org:314193261 org:212271012 org:214055872 org:313110052 org:212898562 person:15856399300 org:310317381 person:29916097342 org:312204509 org:313884740 org:313520064 org:313727645 org:311054333 org:314068092 org:312484269 person:24927397923 org:310133477 org:310992992 person:18828198145 org:312550288 
14856694942,org:312484749 org:310505293 org:312814234 org:212516252 org:310556963 org:312573342 org:313961885 org:310049964 org:310038679 org:313183572 person:14856694942 
17856197921,org:313036634 org:210289232 org:310662739 org:213558862 person:28827799663 org:210412182 org:313516334 org:311022520 org:312618060 org:310708658 org:312501740 org:213852582 org:313554961 org:313600416 org:314244354 org:311048473 org:314196597 person:24845399405 org:313492958 org:312665522 person:24825897409 org:312797623 org:312564955 person:25850099955 person:21887198699 org:312769751 person:29918798704 org:311701894 org:310724777 org:311735748 org:312973960 org:313375250 person:28885698923 org:313682501 org:310898929 org:312896257 person:12813449356 org:312255928 org:312154595 org:310346586 org:211048042 org:310368210 person:15857398111 person:11814795995 person:20917797103 org:312715163 org:310527637 org:312458470 person:24875594954 org:312889285 org:313867625 org:313817245 person:06907096457 org:212521302 org:212823562 org:312424185 person:01896597112 org:310110086 org:310269506 org:314220447 person:08867698362 org:313840689 person:09897997107 org:311776096 org:313008266 org:310610127 person:11813249113 person:11900097753 org:211704772 person:13866399837 person:23866196214 org:312953730 org:312731088 org:314034996 org:310575577 person:14810097893 person:24928399458 org:313010899 person:04838299003 org:312551233 org:311017608 person:28819297039 person:26887196906 person:16899599164 org:313561453 org:311113127 org:313451402 org:311193325 org:313913724 org:311133632 org:213771582 org:213450972 org:312991101 org:312509350 org:312491729 org:313047520 org:313440990 person:31856496794 org:313570118 org:310838454 
27836297429,org:310114189 org:212537012 org:310173290 org:310660965 org:213618172 org:310729639 org:312529343 person:27836297429 
19855498718,org:313850471 org:311034235 org:313191346 org:212547662 org:313557642 org:311002627 person:19855498718 
