"tossn","fromssn","resourceid","instanceid"
"10906996443","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dc8-1698-72ba-9e2c-feb46d97465a
"21915399719","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dc8-1698-72ba-9e2c-feb46d97465a
"19895199357","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dc8-1698-72ba-9e2c-feb46d97465a
"24860999036","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dc8-1698-72ba-9e2c-feb46d97465a
"55899300466","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dc8-1698-72ba-9e2c-feb46d97465a
"24928099071","20867699105",app_ttd_paaliteligstat,urn:altinn:instance-id:50707310/5bf81a17-0e6e-42cc-bbee-27e5c8c964fe
"09886796797","23905497111",app_ttd_paaliteligstat,urn:altinn:instance-id:50077174/b8b8cc88-d7d4-4cd8-90ef-fcefcf331a02
"13853749812","23905497111",app_ttd_paaliteligstat,urn:altinn:instance-id:50077174/b8b8cc88-d7d4-4cd8-90ef-fcefcf331a02
"27820698741","12916997971",k6-instancedelegation-test,urn:altinn:dialog-id:019d19ee-3e8e-7713-896e-e2fac1f8b77b
"27820698741","12916997971",k6-instancedelegation-test,urn:altinn:dialog-id:019d1ba9-ddb3-77b4-90a8-37f7d21a9294
"27820698741","12916997971",k6-instancedelegation-test,urn:altinn:dialog-id:019d1ba9-34d9-70c9-b2d6-592ae702fd93
"04929897922","23905497111",app_ttd_paaliteligstat,urn:altinn:instance-id:50077174/b8b8cc88-d7d4-4cd8-90ef-fcefcf331a02
"15812949400","08827999653",app_ttd_apps-test,urn:altinn:instance-id:50167157/5900ba57-1a32-414e-b7fb-611a3b4277c7
"14821098786","08827999653",app_ttd_apps-test,urn:altinn:instance-id:50167157/5900ba57-1a32-414e-b7fb-611a3b4277c7
"30892449089","08827999653",app_ttd_apps-test,urn:altinn:instance-id:50167157/5900ba57-1a32-414e-b7fb-611a3b4277c7
"29833947506","04886896560",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50441320/894e431e-68b5-47d8-8b43-f103c95eac3c
"16812848473","04886896560",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50441320/894e431e-68b5-47d8-8b43-f103c95eac3c
"04865899438","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dc8-1698-72ba-9e2c-feb46d97465a
"14894299364","20838198385",k6-test-innbygger-vapen,urn:altinn:dialog-id:019c2dbc-f052-7041-8724-fb00ccbeed76
"18910484237","29907329133",acn-migratedcorrespondence-3008-103,urn:altinn:correspondence-id:019b9782-1637-7cee-a73a-64766b36a2fb
"26097100771","09024401135",asf-migratedcorrespondence-4980-1,urn:altinn:correspondence-id:019b9876-2925-705f-8aee-8e5bdc2700bb
"14125702458","30097501595",skd-migratedcorrespondence-ar-1,urn:altinn:correspondence-id:019b9845-5133-768b-a55c-a8cffd730679
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddd67-e6ae-7394-b1bb-105dea4f131d
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddde4-2972-75ef-835f-7c0d91b03320
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dde1a-9e8c-76dd-b3eb-08681f104cae
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de0c9-5760-744a-abf3-0cd2104eb897
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddeda-948f-75f6-85d0-fad9a026c3e2
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddef6-8290-7513-ac17-cba08a2b5d13
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddf3b-3b2f-702d-b1c4-360f56e1c4bf
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddf8d-4294-76f8-8424-681c7c80c918
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddc02-dcd8-7308-b650-8b38806549fb
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd8f4-402f-77d5-82a4-ed4868e14c1c
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd91d-1e40-7781-96ad-d5c181be6b86
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de0f2-e141-76d4-b3aa-191beb45eac8
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd938-7ba4-779c-ad4a-af79ae387ec7
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd946-a543-71e0-b86c-b2280819fd29
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd97d-48b6-704d-a697-c446e17128b8
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd98b-32cb-70a8-a46d-8758d87d6702
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de144-e928-77c7-831e-2fb734e76bdc
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddd23-a455-7430-903e-43130ac0ef09
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dda3d-7c58-7327-a05b-c03fd0c79d58
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dda82-4f10-7162-ac70-b35e67428443
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dda90-19c4-70ea-a188-f2865d0ace49
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddaf0-59bc-7430-b401-38b556231a57
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de1c0-d255-7418-84c6-81f0e0f0afd6
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de1ce-a82d-71e6-a4c0-c2fa3d6764c9
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de2d3-38ae-7067-8af2-af8f3fe11b93
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddb34-f81c-746e-8ef8-08f4376a5d13
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019dd84e-4be2-753c-856f-c00a1c66cd16
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de1f7-5e9e-7535-8d2f-37748c3ac0cf
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de212-a07d-714f-9606-f16d47f9dc7d
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddb50-191a-723f-8511-9584ca1aaa9c
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019ddb5e-aad7-74cc-bbab-e4b95bef37fb
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de333-2ef1-707e-b67f-81f79082b360
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de265-3c98-7719-917d-61a86bcf53d0
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019e203f-7219-7707-90f3-8132c7b5f163
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019e12ad-6ad0-729c-bbf2-aa75ba8ca0d7
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019e12ba-f317-7501-88cc-67a8a3620d39
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019e08c0-f3a5-725a-bcb4-2e3b90223ed0
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de40f-0cef-732e-aa46-9a1c1a8d7b5f
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019e1df1-7072-7280-9362-70c7c255c5a8
"12813448996","02816696197",k6-instancedelegation-test,urn:altinn:dialog-id:019de461-29a8-772c-8efe-0682936cadf2
