"tossn","fromssn","resourceid","instanceid"
"01106402112","01015602259",acn-migratedcorrespondence-4484-1,urn:altinn:correspondence-id:01995c85-22f9-74ab-8bb0-2c14c55ea8aa
"26020100159","23077000259",asf-migratedcorrespondence-4980-1,urn:altinn:correspondence-id:01995c8c-8cc7-7aca-bb82-1e8eec1bbde1
"31889699151","20838198385",app_ttd_kurs-juni-25-hks,urn:altinn:dialog-id:01974000-e055-77f1-b4b2-8b63aff4bb71
"22857299381","22813249557",app_ttd_paaliteligstat,urn:altinn:instance-id:50774072/f53d38d3-c288-485f-bb7d-1e915b9e074d
"01045001349","31014800193",brg-migratedcorrespondence-smmott-1,urn:altinn:correspondence-id:01995c90-6388-7d89-ac78-e6591df95fba
"28837095362","28837695882",ks-migratedcorrespondence-3702-1,urn:altinn:correspondence-id:01995cd8-0049-741a-bfd0-810bf1f546c4
"02893449739","26838299376",ske-skriv-til-oss,urn:altinn:dialog-id:019bc182-7a0a-7516-b941-bfb81591d12f
"19895199357","20838198385",app_ttd_kurs-juni-25-hks,urn:altinn:dialog-id:01974000-e055-77f1-b4b2-8b63aff4bb71
"19895199357","20838198385",skd-migratedcorrespondence-5227-1,urn:altinn:correspondence-id:01995ce0-e8b4-7999-8c48-af10a85d7577
"17055401993","03066000108",skd-migratedcorrespondence-3737-140627,urn:altinn:correspondence-id:01995c8a-d647-7271-af6b-c2fc03ae491f
"28834796874","29926497306",skd-migratedcorrespondence-4651-161025,urn:altinn:correspondence-id:01995cd8-05db-7ec2-b2ca-8a8116796e13
"07926598796","20838198385",app_ttd_kurs-juni-25-hks,urn:altinn:dialog-id:01974000-e055-77f1-b4b2-8b63aff4bb71
"30925899573","08850649589",testressurs-tilgangspakke-innbygger-byggesoknad-3,urn:altinn:dialog-id:019c9e76-a16f-7100-91a4-d5507454ae33
"29917997339","25884699358",app_ttd_authz-bruno-instancedelegation,urn:altinn:instance-id:51443447/16e679bc-9bb9-46f9-86e1-3657b267af26
"29917997339","25884699358",app_ttd_ttd-bruno-tilgangspakke-app,urn:altinn:instance-id:51443447/3f7bfe70-ceb3-45c0-8650-905960f9a9f4
"29917997339","25884699358",app_ttd_ttd-bruno-tilgangspakke-app,urn:altinn:instance-id:51443447/e2b9fac8-7e6a-4384-b28e-45df2feaf99b
"29917997339","25884699358",app_ttd_ttd-bruno-tilgangspakke-app,urn:altinn:instance-id:51443447/b765deb2-889a-4806-aee4-4b479e36b7db
"08829698278","06893449785",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50851611/147054d2-a918-4154-9b52-d70f1f550d49
"08829698278","22831349259",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50345970/1612ecb4-248a-4f16-bfd9-b042bf15de8f
"08829698278","07840148267",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51357792/7b3a6030-dad4-41fe-8fd1-e4564bf837dd
"08829698278","07840148267",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51357792/89fbfb01-efef-471a-8e8a-4002b8a54042
"08829698278","07840148267",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51357792/9ae8437a-7e4c-45bf-9ccd-dc6c40f56839
"08829698278","07840148267",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51357792/b0c6d9e8-3e67-49c1-81d6-df45ffc2603c
"08829698278","07840148267",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51357792/4fab54a8-8718-4420-957b-4bede4526c3f
"08829698278","09848997851",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50666470/79140a27-57a2-42e7-bd6c-94c00c305aa2
"08829698278","20910597931",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51171673/139da76d-785d-4d55-a8c4-66c2f869e352
"15828299619","21877796784",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50864654/7edbb0ee-bc66-41d3-9a78-b04f7df55b64
"21877796784","21877796784",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50864654/7edbb0ee-bc66-41d3-9a78-b04f7df55b64
"23910898604","23910898604",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51147872/da7ef83a-205c-4988-9e0d-c54195c519bd
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/cfe22085-5d42-40f4-9c7c-4ff11cb4cffd
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/05eed746-8677-4a47-bb9a-9c6bfbb95315
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/8a2f5fa3-f78d-4b04-b9ed-7e912415151d
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/cb7d2d1e-e2e1-4efe-93ec-24769346ffbc
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/5567574d-c4a8-40b6-adf1-3cb417ff6b7d
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/c851fc59-f416-4589-a137-2fcdf24bc15d
"28928198245","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/bf303d7c-35ca-4bc4-96c4-094a98919717
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/c851fc59-f416-4589-a137-2fcdf24bc15d
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/bf303d7c-35ca-4bc4-96c4-094a98919717
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/cfe22085-5d42-40f4-9c7c-4ff11cb4cffd
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/05eed746-8677-4a47-bb9a-9c6bfbb95315
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/8a2f5fa3-f78d-4b04-b9ed-7e912415151d
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/cb7d2d1e-e2e1-4efe-93ec-24769346ffbc
"10868798985","10868798985",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50742692/5567574d-c4a8-40b6-adf1-3cb417ff6b7d
"30906199676","30850249454",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51140360/ecbe7aee-480c-4291-ac88-791a8254e32b
"30850249454","30850249454",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51140360/9380acf1-b655-4651-a122-281829985fb8
"30850249454","30850249454",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51140360/ecbe7aee-480c-4291-ac88-791a8254e32b
"25900399068","30850249454",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51140360/9380acf1-b655-4651-a122-281829985fb8
"67845700173","23845896747",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50761591/2e0408f1-e94a-4a68-90e1-616573148e26
"23845896747","23845896747",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50761591/842fadb6-4deb-4e3e-a5e6-e76c947a22e4
"23845896747","23845896747",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50761591/02c3f316-c8e2-40a5-bdc5-bc45407890cd
"23845896747","23845896747",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50761591/2e0408f1-e94a-4a68-90e1-616573148e26
"08849597958","23845896747",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50761591/02c3f316-c8e2-40a5-bdc5-bc45407890cd
"20869297500","23845896747",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50761591/842fadb6-4deb-4e3e-a5e6-e76c947a22e4
"13920698853","05924897688",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50817947/3a630ed7-7278-46d7-bc8a-477e734f4eba
"05924897688","05924897688",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50817947/3a630ed7-7278-46d7-bc8a-477e734f4eba
"13920698853","26857797069",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51040386/cbb7991b-aa25-47cf-b513-f84963058b5a
"26857797069","26857797069",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:51040386/cbb7991b-aa25-47cf-b513-f84963058b5a
"24887597290","07870249475",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50703517/b4aa0075-cd51-4976-b4e9-e6ed8e3ccac2
"07870249475","07870249475",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50703517/b4aa0075-cd51-4976-b4e9-e6ed8e3ccac2
"07870249475","06849897932",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50832632/4d63fe6c-5cff-4a54-a0d5-efd1aee71d5d
"06849897932","06849897932",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50832632/4d63fe6c-5cff-4a54-a0d5-efd1aee71d5d
"07870249475","22860648540",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50592326/6d31eed5-55e6-4f6f-9479-1d1eee0e4cc9
"22860648540","22860648540",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50592326/6d31eed5-55e6-4f6f-9479-1d1eee0e4cc9
"08905197798","08905197798",app_brg_test-enkeltpersonforetak-react,urn:altinn:instance-id:50345270/a39ce7fa-6cab-409d-8edf-889bcab7ec5b
"06838597295","06838597295",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50686008/ad3cdf86-e3b8-4784-bbf1-479e481ee4e4
"27885597322","27885597322",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50985869/9ab8f9ea-7e0d-4012-b84e-13251fa27a37
"16817698496","16817698496",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50802373/0a4b17c5-a87a-4ee0-93c7-a92517e6b532
"03855399767","03855399767",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51412179/b0704067-57f9-42d6-a85f-e473334438ae
"03855399767","03855399767",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51412179/c64b7bbd-254a-49a1-8e7c-c48af6ddcedf
"03855399767","03855399767",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51412179/00ab4c43-caf8-428a-9de1-475b64516efa
"03855399767","03855399767",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51412179/081ab3ac-9d37-431f-a89e-dacc6abf3bce
"42865800309","03855399767",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51412179/c64b7bbd-254a-49a1-8e7c-c48af6ddcedf
"04840548657","04840548657",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51355576/ad9fa5c1-65ee-41ff-9250-1f1efca4833a
"28888298187","28888298187",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51083109/4884face-b94e-4260-895e-b0e4b0f098cc
"46877400166","03810399766",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936964/4bfa8e83-a57f-45b9-910b-51338f64d3e9
"46877400166","64848001927",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51345596/ac8761f7-99a0-4479-a596-929580dbff6b
"46877400166","27813849890",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50666416/f38840f6-5011-41f8-9dfc-357355c20d29
"46877400166","27813849890",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50666416/57b6ff9a-c404-4f4a-a41a-9fba7fb54f82
"46877400166","63896000340",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50515422/ef4b367a-1227-42c0-b1d6-a434783e33ad
"46877400166","63896000340",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50515422/8633c9c2-0ef2-4003-9fcf-857a9a06ffa5
"46877400166","69869800236",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51322734/3f555017-da93-46a4-8108-f7e0963ac31c
"46877400166","69869800236",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51322734/462125df-c0df-433e-91ab-33dba697d540
"46877400166","69869800236",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51322734/911fc5de-8394-4028-9f67-fcfab2851307
"09904699532","09904699532",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51201343/1f646ae4-b5a1-4d53-bf76-eaf4b0bdb974
"01837898532","09904699532",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51201343/62b2f98f-16e4-4996-b6ef-6dc0d9ba2f29
"27826899889","15841599745",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51116775/ebe9e5f8-5ddb-4a9a-853b-027b71d4fd54
"68898100727","68898100727",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51316901/01d615d7-7859-4c7e-b999-4dc6b570e69b
"27826899889","20907499414",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50663148/a9a87dfd-40c7-452f-a1f5-59925ab6f2bf
"46877400166","28925699634",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50800760/59ddf04d-3a68-4cf3-ab49-79c6e1663ed9
"46877400166","46877400166",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51261730/33a2b9c2-feae-43d2-b748-68ddcd5e966f
"27810298788","46877400166",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51261730/33a2b9c2-feae-43d2-b748-68ddcd5e966f
"42865800309","29846499006",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50704506/dd061d9f-e3fc-433e-b386-2cd3472f653e
"20815694989","20815694989",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50798648/6e612e4c-070d-439b-8174-7115e2b93abf
"42865800309","57867900170",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51301771/97605003-e315-451e-872d-d707c93bfcd6
"19914398161","25828098430",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50880288/225591de-fe9f-44df-b938-0e442fbd022f
"42865800309","15906599926",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50347166/7bd142a0-f21b-405d-b33e-dae90a5f0660
"42865800309","17848496561",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:53176140/321a6aa0-9eb6-4cd5-8f15-df0a86f260ce
"01837898532","03857899465",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50646376/e542c463-4af7-4430-b394-bbba3bfcff3f
"01837898532","43865000139",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51244959/fabcf64d-d454-4f36-a5b1-67a87e497c8f
"28879397695","28879397695",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50851592/495d7d53-cfb5-435f-81d4-db2ef49da42d
"24826999973","24826999973",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51438826/14a46393-b5cb-42fe-acdb-61d1ffa30415
"20870699299","20870699299",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50994902/e36ea7ce-38ea-44aa-ba3a-607bed89ceb9
"27826899889","20844698942",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51440011/606225fe-6a82-455d-99f3-14022530cfdd
"27826899889","19836899442",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51207350/f1423367-0aca-465b-ac6a-ad5fac7e127b
"03855399767","67839600337",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51350232/3ed2a9ec-b368-4dff-829b-86e74a70fb0e
"03855399767","67839600337",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51350232/47c733a8-d1ca-4d87-95ad-a9309c19d8d8
"03855399767","67839600337",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51350232/8a381f6d-8a62-4765-8338-23703760867a
"67839600337","67839600337",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51350232/3ed2a9ec-b368-4dff-829b-86e74a70fb0e
"67839600337","67839600337",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51350232/47c733a8-d1ca-4d87-95ad-a9309c19d8d8
"67839600337","67839600337",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51350232/8a381f6d-8a62-4765-8338-23703760867a
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/ab1b2623-6a18-4e16-9095-e8a2c7bfb147
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/c81df4d1-c105-43a9-a5f2-189e5061bc36
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/7cc8dcee-fa1a-4c9a-8d89-ea61776f4632
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/437cdebc-e955-4b96-b6e6-b9b6ad453790
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/4e8f7053-e98b-4e51-86fa-791a79c28288
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/bc410833-e0ab-4a72-921b-46e1e623e2c5
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/fc641b2c-db9d-4fb6-a83a-fa65b53997d6
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/1df5c4cc-0c9a-49c2-8dec-fe3bdfc2b2e8
"08926595769","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/1ea26e97-3869-4193-b375-ec553d852d37
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/ab1b2623-6a18-4e16-9095-e8a2c7bfb147
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/c81df4d1-c105-43a9-a5f2-189e5061bc36
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/fc641b2c-db9d-4fb6-a83a-fa65b53997d6
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/7cc8dcee-fa1a-4c9a-8d89-ea61776f4632
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/437cdebc-e955-4b96-b6e6-b9b6ad453790
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/4e8f7053-e98b-4e51-86fa-791a79c28288
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/bc410833-e0ab-4a72-921b-46e1e623e2c5
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/2f4ff032-ec2f-4208-8f3c-2c2b28b6ba3f
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/59596f37-5a84-4eec-ac98-d44b4c53c29b
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/d64f78bc-39c2-40c8-b9e1-7c0aa192b89f
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/7257975f-b789-485b-bdbe-20e6eeb320fa
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/1ea26e97-3869-4193-b375-ec553d852d37
"23849199013","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/e367e810-73d2-4fee-89b7-3130631b5593
"23912848485","08926595769",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50936623/ab1b2623-6a18-4e16-9095-e8a2c7bfb147
"46877400166","31856995480",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:52052933/f3310968-398a-45d5-baa8-5e9a505c5e94
"42865800309","57896100256",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51299999/fa5db7a9-0885-47ae-a2ae-e213941b31d5
"46877400166","54915100905",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51280409/78b9d518-acfa-4f71-ac39-6aa82225ba87
"46877400166","17811248126",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51368485/053fc6f9-5fa0-4013-9afb-e44428cb3da3
"11854995997","17811248126",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51368485/053fc6f9-5fa0-4013-9afb-e44428cb3da3
"46877400166","30926799904",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51217315/e68e4932-e17a-4430-81d1-8fdd61b300e7
"46877400166","30926799904",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51217315/012b701e-d5bf-4c9f-9c59-0c4c3c8e7783
"46877400166","15920099790",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50813840/ea9a4b3f-2c6a-4d00-8a38-cdc747a61ebf
"46877400166","14906797837",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51088281/9b54a8f4-2c95-47d5-990e-931689f64079
"46877400166","03862148176",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50722603/13e735ed-8611-4a9c-85ad-8d7cec2eaa91
"46877400166","13814299052",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50980219/3a5f1678-460e-41d1-9909-b2a2c46bed8f
"46877400166","20865899786",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51199993/3d7c51ac-603b-463c-a9fc-f20b2137d475
"46877400166","11854995997",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:50707057/f03249bc-3e74-4784-a590-1a11fffe2a04
"47910075159","25825299877",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51236191/ae1bbbc0-bd25-4997-8168-5f00d4fbda0a
"11830298934","30812149349",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51382962/bc67a513-4efe-48fd-a598-89502e80c0a3
"30812149349","30812149349",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51382962/bc67a513-4efe-48fd-a598-89502e80c0a3
"42865800309","42906001181",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50447119/e23c52f1-96d0-43f3-961c-6af704ba3a54
"29925395356","29925395356",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50877290/73afb928-5065-404e-af17-f2895eba534e
"42865800309","05869099947",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51001653/5a94c4c4-13aa-4bec-80a6-ac040f7bb65e
"47910075159","05875899629",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51215630/60d1fa15-a024-4430-939f-5a1857921b1d
"15839998284","15839998284",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50651198/9715168f-1777-470b-b320-9a4f1dde90e1
"27826899889","24845196911",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51149932/683e0b18-2001-4c67-beca-2f073d453ce2
"42865800309","27825897416",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50855170/4f1e1d91-dd5e-445f-a338-0323ca0d512b
"27826899889","15847296604",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51069863/fbf00514-3183-45d4-ad7a-bd1042f5c454
"01065100394","06823047922",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50645446/45dabb20-7ebf-41af-bad2-2d98a7af2e49
"44886801774","06823047922",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50645446/cb4524b9-2bfd-40da-a113-120ef6b7ac1a
"42865800309","24874299940",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51232725/179a04a5-ad25-4593-b98f-c4ca1c38f8c1
"42865800309","67878700632",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51311540/e443d4aa-7329-4c85-978d-6844d7fb1e4a
"27826899889","62879550152",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50511852/65ed7c81-5972-40d8-a9de-c2cd02110b77
"27826899889","59866600249",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51307103/5736132e-6d1d-4755-8890-69461858fbc2
"19914398161","59866600249",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51307103/5736132e-6d1d-4755-8890-69461858fbc2
"46877400166","08838196900",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51448573/dd5a79f8-d530-485e-a753-7062313b9f20
"46877400166","08838196900",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51448573/daaa07e0-eb11-4f4e-9255-1d874b8c5c9c
"04832047754","13875598966",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51408342/89d3b0a4-b6ae-4eec-9fc0-500819e2e71a
"46877400166","15823849599",app_ttd_signering-brukerstyrt,urn:altinn:instance-id:51192990/82dece3e-e216-4b09-90a3-0452cd46c7fa
"42865800309","27908095400",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50570535/c06cc482-4dbb-4a3d-87f1-7c60ae7f288b
"23916295359","23916295359",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:50774688/06911829-42f6-4de3-8402-71ad916793ed
"13872747197","46843200303",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51267872/1bc86783-08ca-4ec0-8e38-40e0190d6820
"21815497357","46843200303",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51267872/1bc86783-08ca-4ec0-8e38-40e0190d6820
"26878099485","46843200303",app_brg_enkeltpersonforetak-react,urn:altinn:instance-id:51267872/1bc86783-08ca-4ec0-8e38-40e0190d6820
