ssn,orgno,resourceid
16060273689,704591233,skd-migratedcorrespondence-3467-130311
16060273689,700645533,skd-migratedcorrespondence-3467-130311
16060273689,705619476,skd-migratedcorrespondence-3467-130311
06051615644,709228048,skd-migratedcorrespondence-3467-130311
06051615644,710783446,skd-migratedcorrespondence-3467-130311
17092931366,718111900,skd-migratedcorrespondence-3467-130311
29070603177,704973284,skd-migratedcorrespondence-3467-130311
07110415197,716862046,skd-migratedcorrespondence-3467-130311
14041026821,618392910,skd-migratedcorrespondence-3467-130311
02102845644,701872851,skd-migratedcorrespondence-3467-130311
26060458390,706300090,skd-migratedcorrespondence-3467-130311
17080338392,707108827,skd-migratedcorrespondence-3467-130311
16071798341,713904937,skd-migratedcorrespondence-3467-130311
08101231721,705881529,skd-migratedcorrespondence-3467-130311
20041065185,709265040,skd-migratedcorrespondence-3467-130311
25060453384,702054966,skd-migratedcorrespondence-3467-130311
18091263501,718681022,skd-migratedcorrespondence-3467-130311
15071367557,715266407,skd-migratedcorrespondence-3467-130311
01051142949,707033096,skd-migratedcorrespondence-3467-130311
14011138250,726046395,skd-migratedcorrespondence-3467-130311
30070143263,716073807,skd-migratedcorrespondence-3467-130311
02053013557,727610553,skd-migratedcorrespondence-3467-130311
22040671777,731382344,skd-migratedcorrespondence-3467-130311
02053013557,731384738,skd-migratedcorrespondence-3467-130311
31011417771,610591574,skd-migratedcorrespondence-3467-130311
24101726483,710908710,skd-migratedcorrespondence-3467-130311
12010551194,702968356,skd-migratedcorrespondence-3467-130311
14013009849,715805200,skd-migratedcorrespondence-3467-130311
10030367583,728309164,skd-migratedcorrespondence-3467-130311
06100567375,718020492,skd-migratedcorrespondence-3467-130311
10050824883,706075488,skd-migratedcorrespondence-3467-130311
15091102894,701820797,skd-migratedcorrespondence-3467-130311
23011722717,713292451,skd-migratedcorrespondence-3467-130311
02023010278,718293936,skd-migratedcorrespondence-3467-130311
01051142949,624600851,skd-migratedcorrespondence-3467-130311
15021310252,716508617,bft-migratedcorrespondence-3833-1
10111116569,705258244,skd-migratedcorrespondence-3467-130311
06070660642,625570441,skd-migratedcorrespondence-3467-130311
26091667842,708096415,skd-migratedcorrespondence-3467-130311
04060570545,625360005,skd-migratedcorrespondence-3467-130311
30101674076,704966806,skd-migratedcorrespondence-3467-130311
24041402314,713412848,bft-migratedcorrespondence-3833-1
15011513503,701258460,skd-migratedcorrespondence-3467-130311
13111105124,730301308,skd-migratedcorrespondence-3467-130311
06091643268,716252191,skd-migratedcorrespondence-3467-130311
19032926056,716917819,skd-migratedcorrespondence-3467-130311
01111133596,718272394,skd-migratedcorrespondence-3467-130311
02102845644,727676198,skd-migratedcorrespondence-3467-130311
19011751884,714814583,skd-migratedcorrespondence-3467-130311
13021266986,728208821,skd-migratedcorrespondence-3467-130311
06864898775,314183673,testressurs-tilgangspakke-org-metallvarer-elektrisk-utstyr-og-maskiner-1
04062789404,702077311,testressurs-tilgangspakke-org-sykefravaer-personopplysninger-saerlig-kategori-1
26875299785,310901539,testressurs-tilgangspakke-org-revisorattesterer-1
13896498287,310901539,testressurs-tilgangspakke-org-revisorattesterer-1
07827499972,311820907,testressurs-tilgangspakke-org-skatt-naering-1
02875997702,314253426,testressurs-tilgangspakke-org-ordinaer-post-til-virksomheten-1
27847097162,314253426,testressurs-tilgangspakke-org-ordinaer-post-til-virksomheten-1
02875997702,314253426,testressurs-tilgangspakke-org-krav-og-utlegg-1
27847097162,314253426,testressurs-tilgangspakke-org-krav-og-utlegg-1
11080457369,625244722,testressurs-tilgangspakke-org-trelast-trevarer-papirvarer-1
22080268002,314250273,testressurs-tilgangspakke-org-byggesoknad-1
22080268002,314250273,testressurs-tilgangspakke-org-ansettelsesforhold-1
22080268002,314250273,testressurs-tilgangspakke-org-toll-1
27907197242,314240235,testressurs-tilgangspakke-org-statsforvalter-barnehage-1
11906798370,314244338,testressurs-tilgangspakke-org-utleie-eiendom-1
01845198701,311082345,testressurs-tilgangspakke-org-fornoyelser-1
09846197777,609282231,testressurs-tilgangspakke-org-godkjenning-av-utdanningsvirksomhet-1
03061036783,625244722,testressurs-tilgangspakke-org-tekstiler-klaer-laervarer-1
25925398376,314258959,testressurs-tilgangspakke-org-motorvognavgift-1
12926096352,314259432,testressurs-tilgangspakke-org-revisjon-1
