ssn,orgno
14886498226,210000402
10865299538,210013172
19886497337,210018832
29878198024,210024662
28826498708,210047182
10867196183,210051872
08837297959,210061932
02818596203,210078282
19866498574,210082522
26916397126,210100822
19815997363,210102302
11897397503,210130632
27845299582,210146822
04825997135,210151192
07907197896,210154272
28827097898,210182802
31905999977,210199152
02834699772,210202862
07876497993,210221212
22929874319,210222332
27917298128,210229272
01846698058,210230572
03866096766,210235302
03885996786,210238042
25926298626,210246622
12826398025,210249702
14858095353,210256962
24913649709,210258272
22852749311,210264892
07926198712,210273352
03876498730,210284672
08856299083,210292152
01884099192,210302832
18826599975,210308822
23894899573,210320032
05906599602,210331492
02826198799,210341692
06906497962,210351892
12856395543,210364242
06857897119,210370072
06876599986,210375562
24878297780,210381082
14926297903,210388532
22909398049,210389172
07905398150,210389962
11824596141,210391002
05887496988,210391592
28896796951,210393072
19825998147,210399992
01917196806,210411712
10918397944,210421122
03844797469,210425292
25862849763,210428372
23835399729,210465812
09886998144,210481672
26897799382,210509232
27866897323,210516212
11854397992,210538062
04848197152,210545522
21858699425,210560572
13899798567,210561552
30905596574,210612432
18826698779,210628932
07876099769,210642552
25887899889,210643362
01905999954,210654232
24826296980,210658122
06886696920,210660542
26877199125,210672672
15917599510,210673792
16896795523,210684042
21849198170,210691952
06816496525,210696342
10914895834,210701702
01908299740,210710272
10906097945,210711252
15926499723,210714812
16866195971,210718702
03818498747,210729682
16815199158,210734732
10855799966,210736662
22857999650,210738312
19846299184,210741062
20914897301,210756892
09912547792,210759832
30875497339,210773312
07869699173,210781692
14846496336,210785752
13849098580,210786422
03826498276,210788352
27828699984,210798692
13895797760,210799222
29927395574,210809112
16836699150,210827072
27915995565,210845852
16812549557,210846352
07926497124,210856102
21904199173,210865152
