ssn,orgno
14886498226,210000402
10865299538,210013172
19886497337,210018832
29878198024,210024662
28826498708,210047182
10867196183,210051872
08837297959,210061932
02818596203,210078282
19866498574,210082522
26916397126,210100822
19815997363,210102302
11897397503,210130632
27845299582,210146822
04825997135,210151192
07907197896,210154272
28827097898,210182802
31905999977,210199152
02834699772,210202862
07876497993,210221212
22929874319,210222332
27917298128,210229272
01846698058,210230572
03866096766,210235302
03885996786,210238042
25926298626,210246622
12826398025,210249702
14858095353,210256962
24913649709,210258272
22852749311,210264892
07926198712,210273352
03876498730,210284672
08856299083,210292152
01884099192,210302832
18826599975,210308822
23894899573,210320032
05906599602,210331492
02826198799,210341692
06906497962,210351892
12856395543,210364242
06857897119,210370072
06876599986,210375562
24878297780,210381082
14926297903,210388532
22909398049,210389172
07905398150,210389962
11824596141,210391002
05887496988,210391592
28896796951,210393072
19825998147,210399992
01917196806,210411712
10918397944,210421122
03844797469,210425292
25862849763,210428372
23835399729,210465812
09886998144,210481672
26897799382,210509232
27866897323,210516212
11854397992,210538062
04848197152,210545522
21858699425,210560572
13899798567,210561552
30905596574,210612432
18826698779,210628932
07876099769,210642552
25887899889,210643362
01905999954,210654232
24826296980,210658122
06886696920,210660542
26877199125,210672672
15917599510,210673792
16896795523,210684042
21849198170,210691952
06816496525,210696342
10914895834,210701702
01908299740,210710272
10906097945,210711252
15926499723,210714812
16866195971,210718702
03818498747,210729682
16815199158,210734732
10855799966,210736662
22857999650,210738312
19846299184,210741062
20914897301,210756892
09912547792,210759832
30875497339,210773312
07869699173,210781692
14846496336,210785752
13849098580,210786422
03826498276,210788352
27828699984,210798692
13895797760,210799222
29927395574,210809112
16836699150,210827072
27915995565,210845852
16812549557,210846352
07926497124,210856102
21904199173,210865152
11834598738,210866302
02878797402,210884092
06855597371,210886222
14869997340,210889272
17914897556,210920722
09836597599,210948392
05906297568,210948872
10837099310,210949682
09837398530,210950222
27894297765,210952942
08866997331,210958452
16897296008,210964592
10814997575,210971092
03906698357,210982892
27844399141,210997482
17907897117,210998772
05845198324,211002182
12928095353,211005572
02846397755,211012382
07826096319,211024542
02846097964,211034912
04885899922,211041072
02876998796,211047542
27885299119,211047992
23836298942,211054212
10876297383,211060352
16836799929,211066482
11847499151,211077352
06906496230,211078162
29812547524,211094362
08846299921,211101792
14824999946,211103132
30855599976,211103612
30896597953,211104392
27886796175,211105542
18866796749,211118342
04857997919,211126302
03897398647,211135972
17847198915,211141182
01877498790,211143002
10897097511,211151692
01815996344,211155892
23823247575,211159022
24815599396,211163402
10926798745,211168692
19827199535,211176202
24885497485,211181192
07907399324,211191422
12858197579,211705302
04915199904,211708212
26827999112,211741422
28825398092,211746882
08877796796,211747382
11867598520,211753382
11827299997,211754052
02897196746,211772212
25823449162,211781602
20819399663,211783982
08816997543,211786612
09866696362,211787252
14879499357,211805722
08917096768,211810742
05846098927,211811382
30907499142,211812982
04825199360,211820322
04825999227,211824042
25915196686,211825642
07906899390,212163252
04818199355,212168882
26826399936,212175722
03845799155,212176842
14916099488,212181862
21919098128,212185612
04907095938,212188522
12907396787,212208442
01837299744,212217522
19848596712,212218952
08917297321,212234842
06868298187,212241202
22896899167,212241652
03906595531,212250902
17926996487,212252832
01836598551,212266892
29905497136,212267902
04925996713,212287962
18824399553,212399892
31858796450,212414182
03927299185,212437522
01819296592,212441422
30906099140,212447862
27812549729,212455792
19816795772,212456292
18877397072,212457892
25889498563,212458392
07917198327,212466182
22886495343,212473502
02836499797,212474142
10887095944,212475912
28908497696,212479942
02847096260,212481742
23817096786,212496642
06927399960,212503002
19867397798,212509612
28928397302,212515132
29817196711,212515612
22886595364,212520152
05925797180,212530212
12906599323,212534412
08897497779,212552992
22876598926,212558052
14877999042,212583332
06846297942,212585912
20842648972,212595942
08928394132,212598372
07926699339,212605522
24848398434,212616982
01856697335,212618772
27846497108,212627682
04876697322,212637092
10886995712,212644862
10864997959,212649252
29846999505,212655732
04831448755,212671312
03845997186,212671622
03917096944,212673102
06905798942,212679402
16877799674,212682462
23926599909,212682632
14836096887,212695912
09815499309,212696722
02926799102,212701572
18844697909,212721832
02928498746,212721972
16855198162,212724572
04886399370,212725692
13917199579,212730122
06915698164,212733342
09907598974,212734632
11869799221,212747912
09927397371,212748382
19926498390,212748412
12874697107,212749982
18885998581,212755982
13908099758,212765082
27908899208,212797782
10926099340,212798142
06827199395,212802352
13846296950,212807532
05848098711,212827312
31857498561,212834882
05825498135,212837652
03828298029,212842052
22865899169,212844802
09818699910,212862282
08877299172,212873942
16838698747,212878502
05818798344,212882682
04917199537,212890022
19817099362,212893242
01837998553,212898082
06907398259,212899992
15908398219,212902322
07826998711,212911372
13924796957,212915092
49887301521,212916862
05905097174,212943762
17883448901,212944602
24913448711,212950092
01865598250,212953172
05906398968,212977322
06906193564,212977632
19823148715,212981842
10846999936,212987352
18899798976,212992372
20887899399,213003682
06865598155,213011022
12925899761,213013572
03836695584,213034642
06816297115,213043722
29875597734,213052462
26915299783,213056832
26919598955,213063642
24824499760,213071602
12876398409,213075802
21868898310,213077732
24814996537,213081152
02927997919,213098012
01896398136,213107852
03827097356,213110292
14825896997,213119842
19887599559,213121472
23868599472,213122002
09853449994,213137042
17925597511,213141902
30914698649,213148222
22898597826,213151282
08886897562,213156942
03835298387,213162942
19857096366,213163892
10855399569,213167502
03907095818,213171852
04885799588,213172662
30903748709,213192302
07867097524,213193902
09863249780,213205722
03856197319,213223062
30927099906,213225162
21828699293,213227432
23839998953,213228412
05817198068,213229842
17886798962,213253662
26869498431,213259962
02898198009,213263552
05876096139,213265202
23856398358,213269372
16846498315,213270052
12858097981,213276352
02844996163,213286242
07898097956,213289772
06877898901,213299352
02896698470,213325612
02837697584,213334832
03916495772,213345702
03905997164,213350242
04867599350,213351702
12846899993,213363042
01906597736,213366092
12825697347,213367722
18876398695,213370332
02905499141,213378872
17835499987,213399292
12887499746,213422782
10828698732,213442902
01836798593,213465392
24814999765,213470892
19897294942,213472992
12919499972,213481002
04826898874,213497812
02885497546,213501372
15829198409,213529102
14857199953,213535412
19864997719,213538632
03905398104,213539752
06857796576,213540092
28897797935,213565672
08816999554,213589172
10904497377,213596942
25925999175,213600702
06927099665,213601962
05846295307,213609572
09836996930,213610112
08926798333,213615092
09893449520,213620002
05914998583,213622862
22846498269,213648772
07867297132,213656902
28848799086,213659022
05888099818,213668692
04820196797,213676482
03895098719,213681222
20826298945,213693522
20816298521,213714902
20846598120,213724762
08838498974,213729012
22895798324,213736612
03836796984,213743902
01885599539,213749722
15885898634,213768182
05896695926,213773992
19898598511,213776452
20896999452,213782592
24876399322,213792172
