ssn,orgno
14886498226,210000402
10865299538,210013172
19886497337,210018832
29878198024,210024662
28826498708,210047182
10867196183,210051872
08837297959,210061932
02818596203,210078282
19866498574,210082522
26916397126,210100822
19815997363,210102302
11897397503,210130632
27845299582,210146822
04825997135,210151192
07907197896,210154272
28827097898,210182802
31905999977,210199152
02834699772,210202862
07876497993,210221212
22929874319,210222332
27917298128,210229272
01846698058,210230572
03866096766,210235302
03885996786,210238042
25926298626,210246622
12826398025,210249702
14858095353,210256962
24913649709,210258272
22852749311,210264892
