pid,name
01846099855,Reflekterende Handlingsrom
03826397976,Samarbeidsvillig Jente
03907098299,Unyttig Konduktør
06876599390,Fiktiv Maur
06886799584,Anonym Hunkatt
07848997379,Uselvstendig Penge
10905598886,Virtuell Hauk
13845994514,Tilfeldig Sure
14847199963,Fersk Fantast
14899499760,Munter Frekvens
14927796385,Løsningsorientert Handelsflåte
16836697573,Ubestikkelig Dugnad
16877198794,Nybakt Ankel
17847798335,Forståelsesfull Magesekk
19867594925,Aritmetisk Årsplan
20866198560,Rosa Haug
20894199378,Påtroppende Harmoni
22817497180,Uemosjonell Desimeter
29887097796,Spiss Halvmeter
31900199999,Solid Akeleie
